fragment,Fixation Duration_mean,Fixation Duration_sum,Fixation Duration_max,Fixation Duration_min,Fixation Duration_median,Fixation Duration_std,Fixation Duration 250_mean,Fixation Duration 250_sum,Fixation Duration 250_max,Fixation Duration 250_min,Fixation Duration 250_median,Fixation Duration 250_std,Fixation Duration 500_mean,Fixation Duration 500_sum,Fixation Duration 500_max,Fixation Duration 500_min,Fixation Duration 500_median,Fixation Duration 500_std,Fixation Count_mean,Fixation Count_sum,Fixation Count_max,Fixation Count_min,Fixation Count_median,Fixation Count_std,Fixation Count 250_mean,Fixation Count 250_sum,Fixation Count 250_max,Fixation Count 250_min,Fixation Count 250_median,Fixation Count 250_std,Fixation Count 500_mean,Fixation Count 500_sum,Fixation Count 500_max,Fixation Count 500_min,Fixation Count 500_median,Fixation Count 500_std,fixation_NumberOfPupilPeaks_mean,fixation_NumberOfPupilPeaks_sum,fixation_NumberOfPupilPeaks_max,fixation_NumberOfPupilPeaks_min,fixation_NumberOfPupilPeaks_median,fixation_NumberOfPupilPeaks_std,fixation_PupilSize_mean_mean,fixation_PupilSize_mean_sum,fixation_PupilSize_mean_max,fixation_PupilSize_mean_min,fixation_PupilSize_mean_median,fixation_PupilSize_mean_std,fixation_PupilSize_median_mean,fixation_PupilSize_median_sum,fixation_PupilSize_median_max,fixation_PupilSize_median_min,fixation_PupilSize_median_median,fixation_PupilSize_median_std,fixation_PupilSize_max_mean,fixation_PupilSize_max_sum,fixation_PupilSize_max_max,fixation_PupilSize_max_min,fixation_PupilSize_max_median,fixation_PupilSize_max_std,fixation_PupilSize_min_mean,fixation_PupilSize_min_sum,fixation_PupilSize_min_max,fixation_PupilSize_min_min,fixation_PupilSize_min_median,fixation_PupilSize_min_std,fixation_PupilSize_std_mean,fixation_PupilSize_std_sum,fixation_PupilSize_std_max,fixation_PupilSize_std_min,fixation_PupilSize_std_median,fixation_PupilSize_std_std,fixation_PupilSize_sum_mean,fixation_PupilSize_sum_sum,fixation_PupilSize_sum_max,fixation_PupilSize_sum_min,fixation_PupilSize_sum_median,fixation_PupilSize_sum_std,fixation_PupilPeaksAmplitude_mean_mean,fixation_PupilPeaksAmplitude_mean_sum,fixation_PupilPeaksAmplitude_mean_max,fixation_PupilPeaksAmplitude_mean_min,fixation_PupilPeaksAmplitude_mean_median,fixation_PupilPeaksAmplitude_mean_std,fixation_PupilPeaksAmplitude_median_mean,fixation_PupilPeaksAmplitude_median_sum,fixation_PupilPeaksAmplitude_median_max,fixation_PupilPeaksAmplitude_median_min,fixation_PupilPeaksAmplitude_median_median,fixation_PupilPeaksAmplitude_median_std,fixation_PupilPeaksAmplitude_max_mean,fixation_PupilPeaksAmplitude_max_sum,fixation_PupilPeaksAmplitude_max_max,fixation_PupilPeaksAmplitude_max_min,fixation_PupilPeaksAmplitude_max_median,fixation_PupilPeaksAmplitude_max_std,fixation_PupilPeaksAmplitude_min_mean,fixation_PupilPeaksAmplitude_min_sum,fixation_PupilPeaksAmplitude_min_max,fixation_PupilPeaksAmplitude_min_min,fixation_PupilPeaksAmplitude_min_median,fixation_PupilPeaksAmplitude_min_std,fixation_PupilPeaksAmplitude_std_mean,fixation_PupilPeaksAmplitude_std_sum,fixation_PupilPeaksAmplitude_std_max,fixation_PupilPeaksAmplitude_std_min,fixation_PupilPeaksAmplitude_std_median,fixation_PupilPeaksAmplitude_std_std,fixation_PupilPeaksAmplitude_sum_mean,fixation_PupilPeaksAmplitude_sum_sum,fixation_PupilPeaksAmplitude_sum_max,fixation_PupilPeaksAmplitude_sum_min,fixation_PupilPeaksAmplitude_sum_median,fixation_PupilPeaksAmplitude_sum_std,IsfixationInSpatialCluster_mean,IsfixationInSpatialCluster_sum,IsfixationInSpatialCluster_max,IsfixationInSpatialCluster_min,IsfixationInSpatialCluster_median,IsfixationInSpatialCluster_std,IsfixationInSpatialTemporalCluster_mean,IsfixationInSpatialTemporalCluster_sum,IsfixationInSpatialTemporalCluster_max,IsfixationInSpatialTemporalCluster_min,IsfixationInSpatialTemporalCluster_median,IsfixationInSpatialTemporalCluster_std,Spacecluster_countUniqueClusters,SpaceTimeCluster_countUniqueClusters,non-horizontal saccade_mean,non-horizontal saccade_sum,non-horizontal saccade_max,non-horizontal saccade_min,non-horizontal saccade_median,non-horizontal saccade_std,horizontal saccade_mean,horizontal saccade_sum,horizontal saccade_max,horizontal saccade_min,horizontal saccade_median,horizontal saccade_std,no saccade_mean,no saccade_sum,no saccade_max,no saccade_min,no saccade_median,no saccade_std,saccadic amplitude_mean,saccadic amplitude_sum,saccadic amplitude_max,saccadic amplitude_min,saccadic amplitude_median,saccadic amplitude_std,Sub-scanAverageWeightedDegree_mean,Sub-scanAverageWeightedDegree_sum,Sub-scanAverageWeightedDegree_max,Sub-scanAverageWeightedDegree_min,Sub-scanAverageWeightedDegree_median,Sub-scanAverageWeightedDegree_std,Sub-scanNtranstions_mean,Sub-scanNtranstions_sum,Sub-scanNtranstions_max,Sub-scanNtranstions_min,Sub-scanNtranstions_median,Sub-scanNtranstions_std,Sub-scanNUniqueVisits_mean,Sub-scanNUniqueVisits_sum,Sub-scanNUniqueVisits_max,Sub-scanNUniqueVisits_min,Sub-scanNUniqueVisits_median,Sub-scanNUniqueVisits_std,Sub-scanDensity_mean,Sub-scanDensity_sum,Sub-scanDensity_max,Sub-scanDensity_min,Sub-scanDensity_median,Sub-scanDensity_std,Sub-scanEntropy_mean,Sub-scanEntropy_sum,Sub-scanEntropy_max,Sub-scanEntropy_min,Sub-scanEntropy_median,Sub-scanEntropy_std,label_fragmentHighlighted_,participant,task
add to array,198.4684076,6549.45745,691.60505,66.68255,158.32775,128.2304532,366.630075,2933.0406,691.60505,258.32765,316.601875,146.028925,691.60505,691.60505,691.60505,691.60505,691.60505,,1,33,1,1,1,0,0.242424242,8,1,0,0,0.43519414,0.03030303,1,1,0,0,0.174077656,1.303030303,43,3,0,1,0.728219081,1.053123748,34.75308369,1.212842248,0.884888677,1.037640069,0.07379695,1.055710065,34.83843213,1.200591295,0.864254426,1.046626986,0.077960811,1.134693654,37.44489057,1.290053631,1.007637291,1.143300531,0.06014878,0.961204405,31.71974536,1.183560392,0.789500708,0.951727166,0.102023709,0.0542808,1.791266412,0.129139555,0.008291908,0.052216074,0.029654186,88.55864832,2922.435394,101.8787488,74.33064888,87.16176582,6.217225332,0.110800806,3.213223368,0.388695431,0.000132831,0.086144086,0.095860211,0.108297856,3.140637827,0.388695431,0.000132831,0.086144086,0.097714848,0.13981796,4.054720848,0.395719807,0.000132831,0.121294101,0.107505395,0.084286601,2.444311429,0.388695431,0.000132831,0.02966804,0.104622209,0.085373088,1.10985015,0.268958078,0.000809053,0.063798582,0.070549717,0.132709446,4.37941173,0.411075452,0,0.121294101,0.11566503,0.151515152,5,1,0,0,0.364109541,0,0,0,0,0,0,1,0,0.666666667,22,1,0,1,0.478713554,0.303030303,10,1,0,0,0.466693722,0.03030303,1,1,0,0,0.174077656,6.088397726,200.917125,23.53720459,0,4.242640687,5.493566218,1.704040404,56.23333333,2,1.333333333,1.6,0.246469174,3.090909091,102,4,2,3,0.630656224,3.696969697,122,5,2,4,0.847232572,0.852020202,28.11666667,1,0.666666667,0.8,0.123234587,1.59694697,52.69925001,2,1,1.584962501,0.310454049,0,P01,t0_eclipse (B_9.java)
array list definition,200.817975,2008.17975,458.29615,75.00365,174.993525,119.1586534,349.9573667,1049.8721,458.29615,283.3192,308.25675,94.64903238,,0,,,,,1,10,1,1,1,0,0.3,3,1,0,0,0.483045892,0,0,0,0,0,0,1.5,15,2,0,2,0.707106781,1.020906235,10.20906235,1.156054507,0.917480416,1.039914925,0.078748441,1.019059544,10.19059544,1.152582952,0.89307457,1.041486122,0.083476131,1.14657744,11.4657744,1.227620695,0.997354898,1.158762685,0.073454647,0.899170939,8.991709391,1.102436824,0.782436045,0.870946812,0.114683327,0.079233086,0.792330857,0.12449223,0.040869799,0.073731812,0.030686739,85.75612371,857.5612371,97.10857858,77.06835498,87.35285372,6.614869035,0.116759616,1.050836544,0.348580822,0.000359164,0.1225388,0.107272821,0.116759616,1.050836544,0.348580822,0.000359164,0.1225388,0.107272821,0.159434448,1.434910034,0.348580822,0.000359164,0.1225388,0.132499136,0.074084784,0.666763053,0.348580822,0.000359164,0.040562355,0.109559304,0.09052699,0.54316194,0.186870488,0.011631611,0.082962837,0.08481096,0.16301943,1.630194302,0.348580822,0,0.110056546,0.142864728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,8,1,0,1,0.421637021,0.2,2,1,0,0,0.421637021,0,0,0,0,0,0,9.927622709,99.27622709,22.09072203,2,8.417658782,7.374302781,2.083333333,20.83333333,3.333333333,1.5,2,0.466468212,2.9,29,5,2,3,0.875595036,2.8,28,4,2,3,0.632455532,1.041666667,10.41666667,1.666666667,0.75,1,0.233234106,1.44317031,14.4317031,1.921928095,1,1.584962501,0.323013405,0,P01,t0_eclipse (B_9.java)
for loop,186.1381708,9865.32305,491.55555,66.593,166.6343,105.4838605,348.5582958,4182.69955,491.55555,266.5619,324.944425,75.44252015,,0,,,,,1,53,1,1,1,0,0.226415094,12,1,0,0,0.422515791,0,0,0,0,0,0,1.641509434,87,5,0,2,0.879124119,1.017680216,53.93705145,1.182448706,0.818366841,1.003695108,0.072797433,1.018015314,53.95481163,1.18547377,0.862257112,1.002719415,0.078163704,1.112448831,58.95978806,1.219123194,0.980017492,1.126423646,0.063632509,0.921736624,48.85204107,1.156325172,0.562235602,0.894333519,0.101464565,0.062626148,3.319185822,0.161604256,0.009695301,0.053937874,0.03434361,85.58127176,4535.807403,99.32569128,68.74281468,84.47581255,6.134671678,0.131311666,6.696894947,0.656887592,0.000787763,0.09598139,0.129234962,0.128992093,6.578596731,0.656887592,0.000787763,0.093115825,0.13068579,0.173456058,8.846258962,0.656887592,0.000787763,0.142437996,0.148766743,0.092393318,4.712059203,0.656887592,7.24E-06,0.028985592,0.134627354,0.098940613,2.770337175,0.379185985,0.002671345,0.067829686,0.090974851,0.181991838,9.645567437,0.77752522,0,0.142437996,0.161701687,0.150943396,8,1,0,0,0.361419552,0.037735849,2,1,0,0,0.192380248,2,1,0.396226415,21,1,0,0,0.493793115,0.566037736,30,1,0,1,0.500362713,0.037735849,2,1,0,0,0.192380248,7.719659623,409.14196,27,0,6,6.418967284,1.196226415,63.4,3.2,0,1.5,0.967145336,1.962264151,104,8,0,2,1.931144182,2.056603774,109,5,0,2,1.66889063,0.905714286,31.7,1.6,0.5,1,0.266174265,1.350698215,47.27443751,2.75,0,1.584962501,0.785027043,1,P01,t0_eclipse (B_9.java)
objects declaration,198.2980226,16657.0339,699.95885,66.62875,149.9349,150.5128608,411.4717738,8640.90725,699.95885,258.32125,374.9541,151.6775335,644.94808,3224.7404,699.95885,558.3057,699.9339,75.36105525,1,84,1,1,1,0,0.25,21,1,0,0,0.435613402,0.05952381,5,1,0,0,0.238023512,1.166666667,98,3,0,1,0.63688499,1.03580993,87.00803409,1.259101758,0.720779877,1.055641791,0.102793631,1.043511396,87.65495724,1.26608513,0.722688723,1.06539758,0.102356062,1.136998071,95.50783792,1.311598712,0.895285059,1.136965687,0.078884677,0.915955353,76.94024969,1.194684074,0.455535564,0.938041602,0.166486486,0.070913961,5.956772732,0.242042156,0.008110556,0.065176837,0.049441976,87.14515521,7320.193037,105.7645477,60.5455097,88.67391046,8.668414178,0.171367518,12.85256385,1.180851867,0.000359164,0.118850272,0.205673195,0.170883288,12.81624658,1.180851867,0.000359164,0.118850272,0.205994911,0.192695015,14.45212611,1.180851867,0.000359164,0.123803637,0.215195792,0.150524251,11.28931886,1.180851867,7.72E-07,0.077313181,0.210662332,0.104379967,2.191979303,0.508356736,0.001577606,0.060555049,0.120427334,0.180111327,15.12935149,1.180851867,0,0.123171219,0.214277442,0.107142857,9,1,0,0,0.31115243,0.023809524,2,1,0,0,0.153370995,2,1,0.678571429,57,1,0,1,0.469829866,0.297619048,25,1,0,0,0.459957093,0.023809524,2,1,0,0,0.153370995,6.00789132,504.6628708,40.24922359,0,4.061552813,6.61873966,2.079761905,174.7,3.333333333,1,2,0.794880168,3.726190476,313,8,1,3.5,1.702947059,3.547619048,298,5,2,3,0.718176437,1.039880952,87.35,1.666666667,0.5,1,0.397440084,1.703930649,143.1301745,2.75,0,1.753445298,0.577179714,0,P01,t0_eclipse (B_9.java)
other,199.0472611,1791.42535,441.6211,91.70885,174.9517,104.9409584,362.469325,724.93865,441.6211,283.31755,362.469325,111.9375137,,0,,,,,1,10,1,1,1,0,0.2,2,1,0,0,0.421637021,0,0,0,0,0,0,1.1,11,2,0,1,0.567646212,1.06200782,10.6200782,1.178078899,0.961759833,1.076402368,0.081252277,1.065993145,10.65993145,1.175027182,0.959951632,1.096819078,0.080685879,1.174837495,11.74837495,1.294106231,1.065061703,1.173863689,0.069481078,0.952213878,9.522138783,1.157144171,0.782436045,0.9531664,0.113623162,0.071505328,0.715053278,0.117828677,0.018712165,0.07192346,0.032030625,89.20865684,892.0865684,98.95862752,80.78782595,90.41779894,6.825191299,0.145507547,1.309567924,0.319569431,0.013782074,0.107424881,0.116190838,0.145507547,1.309567924,0.319569431,0.013782074,0.107424881,0.116190838,0.147891911,1.331027198,0.319569431,0.027016556,0.107424881,0.113532194,0.143123183,1.288108651,0.319569431,0.000547592,0.107424881,0.118991473,0.015173998,0.030347995,0.018716384,0.011631611,0.015173998,0.005009691,0.137213714,1.372137145,0.319569431,0,0.107424881,0.114498356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,5,1,0,0.5,0.527046277,0.4,4,1,0,0,0.516397779,0,0,0,0,0,0,8.119437398,81.19437398,22.09072203,0,6.16227766,7.858098182,1.85,18.5,2,1.5,2,0.241522946,2.6,26,3,2,3,0.516397779,2.9,29,4,2,3,0.875595036,0.925,9.25,1,0.75,1,0.120761473,1.3509775,13.509775,1.584962501,1,1.584962501,0.302073336,0,P01,t0_eclipse (B_9.java)
question,165.2717583,991.63055,291.66515,99.9742,129.1542,82.23811058,291.66515,291.66515,291.66515,291.66515,291.66515,,,0,,,,,1,6,1,1,1,0,0.166666667,1,1,0,0,0.40824829,0,0,0,0,0,0,1,6,2,0,1,0.894427191,0.985308548,5.911851287,1.119178164,0.788026843,1.055621389,0.146234298,0.987682804,5.926096825,1.108642137,0.780883762,1.072626767,0.15916461,1.157759128,6.946554765,1.224140456,1.102377608,1.150020132,0.05057223,0.809563664,4.857381982,1.079320247,0.492881023,0.908437928,0.256094718,0.117996736,0.707980415,0.236829139,0.024741492,0.101104102,0.0908487,83.07216951,498.4330171,94.01096581,66.98228169,89.19693769,12.17210379,0.153399587,0.613598347,0.428218519,0.008189967,0.088594931,0.196529242,0.153399587,0.613598347,0.428218519,0.008189967,0.088594931,0.196529242,0.191923523,0.767694092,0.428218519,0.01490415,0.162285711,0.21005605,0.114875651,0.459502603,0.428218519,0.001475783,0.01490415,0.208991136,0.108962146,0.217924292,0.208429002,0.00949529,0.108962146,0.140667377,0.130679004,0.784074025,0.428218519,0,0.015642042,0.193259479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,3,1,0,0.5,0.547722558,0.5,3,1,0,0.5,0.547722558,0,0,0,0,0,0,17.3471051,104.0826306,34.4818793,2,15.51387819,13.84534338,1.416666667,8.5,2,1,1.25,0.49159604,2.333333333,14,4,1,2,1.505545305,3,18,4,2,3,1.095445115,0.708333333,4.25,1,0.5,0.625,0.24579802,0.930827083,5.584962501,2,0,0.79248125,1.030870678,0,P01,t0_eclipse (B_9.java)
add to array,283.0083662,31413.92865,1566.5827,66.62175,208.3434,229.0341234,493.0480244,20214.969,1566.5827,258.3098,399.9767,259.9822887,794.1575462,10324.0481,1566.5827,524.94785,724.9699,270.685051,1,111,1,1,1,0,0.369369369,41,1,0,0,0.48482289,0.117117117,13,1,0,0,0.323018118,1.234234234,137,4,0,1,0.797210534,1.091536987,121.1606055,1.267299601,0.850632684,1.096342265,0.096520553,1.102486256,122.3759744,1.30372629,0.824542599,1.108440032,0.103676469,1.209823913,134.2904544,1.346297549,1.017403675,1.216638367,0.081454867,0.94627014,105.0359856,1.21806683,0.350286224,0.954560315,0.160103795,0.086478597,9.599124212,0.338244858,0.009671631,0.074030676,0.054650375,91.87662746,10198.30565,106.4531665,71.45314547,92.56343791,8.028626689,0.167210214,16.05218051,0.884431663,0.00045316,0.118909585,0.169084194,0.16518888,15.85813253,0.884431663,4.59E-05,0.118909585,0.170471953,0.195062756,18.72602456,0.884431663,0.000746361,0.161094605,0.171360731,0.141507342,13.58470486,0.884431663,1.02E-06,0.067649748,0.179756987,0.106912592,3.528115542,0.221718169,0.00041465,0.124719822,0.075252324,0.17565833,19.4980746,0.884431663,0,0.126263658,0.177618555,0.306306306,34,1,0,0,0.463049041,0.018018018,2,1,0,0,0.133619676,3,1,0.810810811,90,1,0,1,0.393435071,0.171171171,19,1,0,0,0.378366678,0.018018018,2,1,0,0,0.133619676,7.499641436,832.4601994,37.48332963,0,3.16227766,9.094377381,1.93003003,214.2333333,3.333333333,0,2,0.668647889,3.63963964,404,6,0,4,1.438387941,3.693693694,410,6,0,4,0.998114521,0.973787879,107.1166667,1.666666667,0.5,1,0.322764081,1.699288685,186.9217554,2.584962501,0,1.960964047,0.696101143,0,P01,t7_eclipse (C_5.java)
array list definition,149.99246,749.9623,208.30755,75.011,133.34325,57.71358814,,0,,,,,,0,,,,,1,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,8,3,1,1,0.894427191,1.013161747,5.065808737,1.119664656,0.851710923,1.040383842,0.100251391,1.027224685,5.136123427,1.151108136,0.849447055,1.052046662,0.113886662,1.103143253,5.515716263,1.226997386,0.920819233,1.092780063,0.118045137,0.883115388,4.415576939,0.994825567,0.76761719,0.847613966,0.096403704,0.072921566,0.364607829,0.152625259,0.035974586,0.055690248,0.046439429,85.51329489,427.5664744,94.05183107,71.54371755,88.43262657,8.472753546,0.160318317,0.801591587,0.292205151,0.071892698,0.153202043,0.081335206,0.165173459,0.825867296,0.292205151,0.096168407,0.153202043,0.075232841,0.189350466,0.946752332,0.292205151,0.107522328,0.153202043,0.084885852,0.126431027,0.632155133,0.292205151,0.01198736,0.125755038,0.108731623,0.103544806,0.207089613,0.154900389,0.052189224,0.103544806,0.072627762,0.220782728,1.10391364,0.317073314,0.125755038,0.215678095,0.083660784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,4,1,0,1,0.447213595,0,0,0,0,0,0,0,0,0,0,0,0,12.85754802,64.2877401,24.08318916,0,12.36931688,9.59709975,1.866666667,9.333333333,2,1.333333333,2,0.298142397,3.6,18,5,2,4,1.140175425,3.8,19,5,3,4,0.836660027,0.933333333,4.666666667,1,0.666666667,1,0.149071198,1.781378119,8.906890596,2.321928095,1,2,0.509145409,0,P01,t7_eclipse (C_5.java)
next function,167.6348289,25480.494,1474.88405,66.64045,133.30525,143.1626514,384.96679,9624.16975,1474.88405,250.03165,324.9387,242.1115818,1045.74375,2091.4875,1474.88405,616.60345,1045.74375,606.8960324,1,152,1,1,1,0,0.164473684,25,1,0,0,0.371930331,0.013157895,2,1,0,0,0.114327409,1.401315789,213,6,0,1,0.815900497,1.108133458,168.4362857,1.316602768,0.640757358,1.117501613,0.123187684,1.119127861,170.1074348,1.344208494,0.672402268,1.119474475,0.123970673,1.223836434,186.023138,1.392698561,0.771312165,1.240769345,0.101244988,0.962460754,146.2940346,1.27596769,0.438548945,0.990107675,0.184212046,0.086145091,13.0940538,0.295257719,0.00633424,0.078765528,0.0551858,93.19053239,14164.96092,110.5946325,53.82361809,93.87013547,10.35252607,0.210803456,30.77730453,1.042412337,0.001080575,0.140432447,0.230782899,0.205473005,29.99905877,1.042412337,3.61E-05,0.140432447,0.234581077,0.247049272,36.06919375,1.042412337,0.002151122,0.179124082,0.227881948,0.181977367,26.56869559,1.042412337,1.59E-06,0.080701554,0.244822822,0.1251234,6.256170015,0.323392721,0.000272732,0.118821581,0.088886205,0.242478509,36.8567333,1.042412337,0,0.183734782,0.229385713,0.164473684,25,1,0,0,0.371930331,0.039473684,6,1,0,0,0.195362761,2,3,0.480263158,73,1,0,0,0.501261914,0.493421053,75,1,0,0,0.50160947,0.026315789,4,1,0,0,0.160601866,7.830048524,1190.167376,34.92849839,0,6,7.542344787,1.824561404,277.3333333,4,0,2,0.921014069,2.526315789,384,5,0,2,1.404568555,2.532894737,385,5,0,2,1.233729945,1.01216545,138.6666667,2,0.5,1,0.365531351,1.190453199,163.0920882,2.321928095,0,1,0.602504671,1,P01,t7_eclipse (C_5.java)
objects declaration,222.9607137,13823.56425,874.9519,66.63515,170.817825,167.9724178,409.0864619,8590.8157,874.9519,258.29285,374.9507,161.0282269,738.8293167,2216.48795,874.9519,566.63165,774.9044,157.2940014,1,62,1,1,1,0,0.338709677,21,1,0,0,0.477134493,0.048387097,3,1,0,0,0.216334543,1.290322581,80,3,0,1,0.686810084,1.116783107,69.24055262,1.292791175,0.941303783,1.121329057,0.091033574,1.122257328,69.57995432,1.30250654,0.957700848,1.121996467,0.099084483,1.220291193,75.65805394,1.331405687,1.006309751,1.234525189,0.076757154,0.991113949,61.44906484,1.225403979,0.459543028,1.000944482,0.131912036,0.072678004,4.506036238,0.31366726,0.011226712,0.063080998,0.045147854,94.00868339,5828.53837,109.8872499,79.06951773,94.33296401,7.687769088,0.155527713,8.709551931,0.596985937,0.000696081,0.095609116,0.146275454,0.15482978,8.670467657,0.596985937,0.000696081,0.095609116,0.14692871,0.180880334,10.12929868,0.596985937,0.000696081,0.132086803,0.151443181,0.130873026,7.328889451,0.596985937,0.000201656,0.057896277,0.15747048,0.088737761,1.952230753,0.321241356,0.00013261,0.054683139,0.091120302,0.168592194,10.45271605,0.596985937,0,0.099943168,0.154416665,0.177419355,11,1,0,0,0.385141811,0.129032258,8,1,0,0,0.337972303,2,3,0.5,31,1,0,0.5,0.5040817,0.467741935,29,1,0,0,0.503031529,0.032258065,2,1,0,0,0.178127044,5.871719406,364.0466032,26.57066051,0,4.472135955,4.751911601,2.08655914,129.3666667,5,1,2,1.135331887,3.161290323,196,5,1,3,1.559671554,3.161290323,196,6,2,2,1.357354568,1.04327957,64.68333333,2.5,0.5,1,0.567665944,1.227797229,76.12342821,2.321928095,0,1,0.863738264,0,P01,t7_eclipse (C_5.java)
