,importance,feature,round
horizontal saccade_sum,0.6730776036349807,horizontal saccade_sum,0;0
Sub-scanDensity_sum,0.0497872020452665,Sub-scanDensity_sum,0;0
saccadic amplitude_sum,0.0480105823526876,saccadic amplitude_sum,0;0
fixation_PupilPeaksAmplitude_mean_sum,0.0305966469428007,fixation_PupilPeaksAmplitude_mean_sum,0;0
fixation_PupilPeaksAmplitude_std_sum,0.0259313115824744,fixation_PupilPeaksAmplitude_std_sum,0;0
fixation_NumberOfPupilPeaks_sum,0.020228832951945,fixation_NumberOfPupilPeaks_sum,0;0
fixation_PupilPeaksAmplitude_min_sum,0.0193177257525083,fixation_PupilPeaksAmplitude_min_sum,0;0
Fixation Count_sum,0.0193136094674556,Fixation Count_sum,0;0
Fixation Count 250_sum,0.0187237762237762,Fixation Count 250_sum,0;0
Sub-scanAverageWeightedDegree_sum,0.0166153846153846,Sub-scanAverageWeightedDegree_sum,0;0
fixation_PupilSize_sum_sum,0.0163461538461538,fixation_PupilSize_sum_sum,0;0
fixation_PupilSize_median_sum,0.0138771336190691,fixation_PupilSize_median_sum,0;0
fixation_PupilPeaksAmplitude_sum_sum,0.0125069033530571,fixation_PupilPeaksAmplitude_sum_sum,0;0
fixation_PupilSize_std_sum,0.0113130615657449,fixation_PupilSize_std_sum,0;0
Fixation Duration_sum,0.0087425484351713,Fixation Duration_sum,0;0
fixation_PupilSize_mean_sum,0.0087179487179487,fixation_PupilSize_mean_sum,0;0
Fixation Duration 250_sum,0.0068935748935748,Fixation Duration 250_sum,0;0
fixation_PupilSize_min_sum,0.0,fixation_PupilSize_min_sum,0;0
fixation_PupilPeaksAmplitude_median_sum,0.0,fixation_PupilPeaksAmplitude_median_sum,0;0
non-horizontal saccade_sum,0.0,non-horizontal saccade_sum,0;0
horizontal saccade_sum,0.6621067730255604,horizontal saccade_sum,1;0
Fixation Duration_sum,0.0722155872292989,Fixation Duration_sum,1;0
Sub-scanAverageWeightedDegree_sum,0.0386257731462287,Sub-scanAverageWeightedDegree_sum,1;0
fixation_PupilSize_max_sum,0.0344831106005057,fixation_PupilSize_max_sum,1;0
fixation_PupilSize_min_sum,0.0343052114490853,fixation_PupilSize_min_sum,1;0
Sub-scanNUniqueVisits_sum,0.0329783338628399,Sub-scanNUniqueVisits_sum,1;0
saccadic amplitude_sum,0.0322626386132726,saccadic amplitude_sum,1;0
fixation_PupilPeaksAmplitude_max_sum,0.0254985106895934,fixation_PupilPeaksAmplitude_max_sum,1;0
Fixation Count 250_sum,0.0198795071406536,Fixation Count 250_sum,1;0
fixation_NumberOfPupilPeaks_sum,0.016887651245809,fixation_NumberOfPupilPeaks_sum,1;0
fixation_PupilPeaksAmplitude_median_sum,0.0142475471483872,fixation_PupilPeaksAmplitude_median_sum,1;0
Sub-scanDensity_sum,0.0095847623713865,Sub-scanDensity_sum,1;0
fixation_PupilPeaksAmplitude_std_sum,0.0061346405346816,fixation_PupilPeaksAmplitude_std_sum,1;0
fixation_PupilSize_std_sum,0.0007899529426967,fixation_PupilSize_std_sum,1;0
Fixation Duration 250_sum,0.0,Fixation Duration 250_sum,1;0
fixation_PupilPeaksAmplitude_min_sum,0.0,fixation_PupilPeaksAmplitude_min_sum,1;0
fixation_PupilPeaksAmplitude_sum_sum,0.0,fixation_PupilPeaksAmplitude_sum_sum,1;0
fixation_PupilPeaksAmplitude_mean_sum,0.0,fixation_PupilPeaksAmplitude_mean_sum,1;0
fixation_PupilSize_median_sum,0.0,fixation_PupilSize_median_sum,1;0
Fixation Count_sum,0.0,Fixation Count_sum,1;0
horizontal saccade_sum,0.6186691802076417,horizontal saccade_sum,2;0
Fixation Count 250_sum,0.043314904357088,Fixation Count 250_sum,2;0
fixation_PupilSize_max_sum,0.0414616980654716,fixation_PupilSize_max_sum,2;0
fixation_PupilSize_mean_sum,0.039010503716386,fixation_PupilSize_mean_sum,2;0
fixation_PupilPeaksAmplitude_median_sum,0.038781319677546,fixation_PupilPeaksAmplitude_median_sum,2;0
saccadic amplitude_sum,0.0375758851437584,saccadic amplitude_sum,2;0
Sub-scanNtranstions_sum,0.0227890612505997,Sub-scanNtranstions_sum,2;0
Sub-scanEntropy_sum,0.0204918557859734,Sub-scanEntropy_sum,2;0
fixation_PupilSize_min_sum,0.0193405578020962,fixation_PupilSize_min_sum,2;0
fixation_PupilSize_std_sum,0.0192072993797131,fixation_PupilSize_std_sum,2;0
fixation_PupilPeaksAmplitude_min_sum,0.0149164764549379,fixation_PupilPeaksAmplitude_min_sum,2;0
fixation_PupilPeaksAmplitude_sum_sum,0.0145224409930292,fixation_PupilPeaksAmplitude_sum_sum,2;0
fixation_NumberOfPupilPeaks_sum,0.0127680127680127,fixation_NumberOfPupilPeaks_sum,2;0
Fixation Count_sum,0.0126183876183876,Fixation Count_sum,2;0
fixation_PupilPeaksAmplitude_max_sum,0.0109725109725109,fixation_PupilPeaksAmplitude_max_sum,2;0
fixation_PupilPeaksAmplitude_mean_sum,0.0105575328044738,fixation_PupilPeaksAmplitude_mean_sum,2;0
Fixation Duration 250_sum,0.0105336105336105,Fixation Duration 250_sum,2;0
Fixation Duration_sum,0.0087780087780087,Fixation Duration_sum,2;0
fixation_PupilPeaksAmplitude_std_sum,0.0036907536907537,fixation_PupilPeaksAmplitude_std_sum,2;0
fixation_PupilSize_median_sum,0.0,fixation_PupilSize_median_sum,2;0
horizontal saccade_sum,0.6334561284646895,horizontal saccade_sum,3;0
fixation_PupilPeaksAmplitude_mean_sum,0.0652403223087106,fixation_PupilPeaksAmplitude_mean_sum,3;0
Sub-scanDensity_sum,0.0372368374220133,Sub-scanDensity_sum,3;0
Fixation Count_sum,0.0327575367101058,Fixation Count_sum,3;0
fixation_PupilSize_median_sum,0.0291763403651515,fixation_PupilSize_median_sum,3;0
fixation_PupilSize_max_sum,0.0277087834978057,fixation_PupilSize_max_sum,3;0
Fixation Duration_sum,0.0260667311159921,Fixation Duration_sum,3;0
fixation_PupilSize_mean_sum,0.02378499243703,fixation_PupilSize_mean_sum,3;0
Fixation Count 250_sum,0.0231407481407481,Fixation Count 250_sum,3;0
Sub-scanAverageWeightedDegree_sum,0.022430299585472,Sub-scanAverageWeightedDegree_sum,3;0
Fixation Duration 250_sum,0.0212307141398253,Fixation Duration 250_sum,3;0
saccadic amplitude_sum,0.0174718038642089,saccadic amplitude_sum,3;0
fixation_PupilSize_std_sum,0.0127707344202189,fixation_PupilSize_std_sum,3;0
fixation_NumberOfPupilPeaks_sum,0.0107531357531357,fixation_NumberOfPupilPeaks_sum,3;0
fixation_PupilSize_min_sum,0.0103230103230103,fixation_PupilSize_min_sum,3;0
fixation_PupilSize_sum_sum,0.0064518814518814,fixation_PupilSize_sum_sum,3;0
fixation_PupilPeaksAmplitude_median_sum,0.0,fixation_PupilPeaksAmplitude_median_sum,3;0
fixation_PupilPeaksAmplitude_max_sum,0.0,fixation_PupilPeaksAmplitude_max_sum,3;0
fixation_PupilPeaksAmplitude_min_sum,0.0,fixation_PupilPeaksAmplitude_min_sum,3;0
fixation_PupilPeaksAmplitude_sum_sum,0.0,fixation_PupilPeaksAmplitude_sum_sum,3;0
horizontal saccade_sum,0.6388820865032404,horizontal saccade_sum,4;0
fixation_PupilSize_std_sum,0.0837789339587823,fixation_PupilSize_std_sum,4;0
fixation_PupilSize_min_sum,0.047076923076923,fixation_PupilSize_min_sum,4;0
saccadic amplitude_sum,0.0369805194805194,saccadic amplitude_sum,4;0
fixation_PupilPeaksAmplitude_mean_sum,0.0269711538461538,fixation_PupilPeaksAmplitude_mean_sum,4;0
IsfixationInSpatialTemporalCluster_sum,0.0260413252369364,IsfixationInSpatialTemporalCluster_sum,4;0
Fixation Duration 250_sum,0.0259179463626799,Fixation Duration 250_sum,4;0
fixation_NumberOfPupilPeaks_sum,0.0257276377468684,fixation_NumberOfPupilPeaks_sum,4;0
Fixation Duration_sum,0.0218327759197324,Fixation Duration_sum,4;0
fixation_PupilPeaksAmplitude_max_sum,0.0209230769230769,fixation_PupilPeaksAmplitude_max_sum,4;0
Sub-scanDensity_sum,0.0139143615005684,Sub-scanDensity_sum,4;0
fixation_PupilPeaksAmplitude_std_sum,0.0096293706293706,fixation_PupilPeaksAmplitude_std_sum,4;0
fixation_PupilPeaksAmplitude_min_sum,0.0074293078716155,fixation_PupilPeaksAmplitude_min_sum,4;0
Sub-scanNUniqueVisits_sum,0.0061766322255833,Sub-scanNUniqueVisits_sum,4;0
Sub-scanEntropy_sum,0.0059935897435897,Sub-scanEntropy_sum,4;0
Sub-scanAverageWeightedDegree_sum,0.0027243589743589,Sub-scanAverageWeightedDegree_sum,4;0
fixation_PupilPeaksAmplitude_sum_sum,0.0,fixation_PupilPeaksAmplitude_sum_sum,4;0
fixation_PupilPeaksAmplitude_median_sum,0.0,fixation_PupilPeaksAmplitude_median_sum,4;0
