,importance,feature,round
horizontal saccade_sum,0.5672901373525303,horizontal saccade_sum,0;0
Fixation Duration_sum,0.1218209860206304,Fixation Duration_sum,0;0
fixation_NumberOfPupilPeaks_sum,0.0529023927202658,fixation_NumberOfPupilPeaks_sum,0;0
fixation_PupilSize_min_sum,0.0512928022361984,fixation_PupilSize_min_sum,0;0
fixation_PupilSize_std_sum,0.0373260347791798,fixation_PupilSize_std_sum,0;0
Sub-scanAverageWeightedDegree_sum,0.0365530119023077,Sub-scanAverageWeightedDegree_sum,0;0
saccadic amplitude_sum,0.0323639490778026,saccadic amplitude_sum,0;0
Fixation Count_sum,0.0258306314940858,Fixation Count_sum,0;0
fixation_PupilPeaksAmplitude_max_sum,0.0247593238545138,fixation_PupilPeaksAmplitude_max_sum,0;0
Fixation Count 250_sum,0.0176673701394594,Fixation Count 250_sum,0;0
fixation_PupilPeaksAmplitude_median_sum,0.01590815115536,fixation_PupilPeaksAmplitude_median_sum,0;0
fixation_PupilSize_mean_sum,0.0109925162556741,fixation_PupilSize_mean_sum,0;0
Fixation Duration 250_sum,0.0052926930119912,Fixation Duration 250_sum,0;0
fixation_PupilPeaksAmplitude_sum_sum,0.0,fixation_PupilPeaksAmplitude_sum_sum,0;0
fixation_PupilSize_sum_sum,0.0,fixation_PupilSize_sum_sum,0;0
fixation_PupilPeaksAmplitude_min_sum,0.0,fixation_PupilPeaksAmplitude_min_sum,0;0
fixation_PupilPeaksAmplitude_mean_sum,0.0,fixation_PupilPeaksAmplitude_mean_sum,0;0
fixation_PupilSize_max_sum,0.0,fixation_PupilSize_max_sum,0;0
fixation_PupilSize_median_sum,0.0,fixation_PupilSize_median_sum,0;0
Sub-scanDensity_sum,0.0,Sub-scanDensity_sum,0;0
horizontal saccade_sum,0.6295005880808537,horizontal saccade_sum,1;0
Sub-scanNtranstions_sum,0.0412207207333142,Sub-scanNtranstions_sum,1;0
Fixation Duration_sum,0.0348409385525296,Fixation Duration_sum,1;0
Sub-scanNUniqueVisits_sum,0.0325676664084885,Sub-scanNUniqueVisits_sum,1;0
fixation_PupilSize_std_sum,0.0289320194824604,fixation_PupilSize_std_sum,1;0
Fixation Count_sum,0.0279370166412851,Fixation Count_sum,1;0
Sub-scanDensity_sum,0.0271327000867615,Sub-scanDensity_sum,1;0
Fixation Count 250_sum,0.0268096917523953,Fixation Count 250_sum,1;0
fixation_PupilPeaksAmplitude_sum_sum,0.0232869347701162,fixation_PupilPeaksAmplitude_sum_sum,1;0
fixation_NumberOfPupilPeaks_sum,0.0193861648044093,fixation_NumberOfPupilPeaks_sum,1;0
fixation_PupilPeaksAmplitude_max_sum,0.0188036868420516,fixation_PupilPeaksAmplitude_max_sum,1;0
Sub-scanAverageWeightedDegree_sum,0.0186052800594936,Sub-scanAverageWeightedDegree_sum,1;0
saccadic amplitude_sum,0.0145353750464793,saccadic amplitude_sum,1;0
fixation_PupilSize_min_sum,0.0122097150390426,fixation_PupilSize_min_sum,1;0
fixation_PupilSize_median_sum,0.0109015312848595,fixation_PupilSize_median_sum,1;0
fixation_PupilPeaksAmplitude_mean_sum,0.0096902500309862,fixation_PupilPeaksAmplitude_mean_sum,1;0
fixation_PupilSize_mean_sum,0.0096902500309862,fixation_PupilSize_mean_sum,1;0
Fixation Duration 250_sum,0.0093026400297468,Fixation Duration 250_sum,1;0
non-horizontal saccade_sum,0.0046468303237393,non-horizontal saccade_sum,1;0
fixation_PupilPeaksAmplitude_median_sum,0.0,fixation_PupilPeaksAmplitude_median_sum,1;0
horizontal saccade_sum,0.6523248543667979,horizontal saccade_sum,2;0
Sub-scanDensity_sum,0.0491928276734844,Sub-scanDensity_sum,2;0
fixation_NumberOfPupilPeaks_sum,0.0457438797519769,fixation_NumberOfPupilPeaks_sum,2;0
Sub-scanNtranstions_sum,0.0406650008741641,Sub-scanNtranstions_sum,2;0
Sub-scanAverageWeightedDegree_sum,0.0341292476284359,Sub-scanAverageWeightedDegree_sum,2;0
Fixation Duration 250_sum,0.0320937122556555,Fixation Duration 250_sum,2;0
saccadic amplitude_sum,0.0292752681416648,saccadic amplitude_sum,2;0
fixation_PupilSize_std_sum,0.0261926966001592,fixation_PupilSize_std_sum,2;0
fixation_PupilSize_mean_sum,0.0235302259593757,fixation_PupilSize_mean_sum,2;0
fixation_PupilPeaksAmplitude_mean_sum,0.0167326051266672,fixation_PupilPeaksAmplitude_mean_sum,2;0
fixation_PupilSize_median_sum,0.0117651129796878,fixation_PupilSize_median_sum,2;0
fixation_PupilPeaksAmplitude_min_sum,0.0107846868980472,fixation_PupilPeaksAmplitude_min_sum,2;0
fixation_PupilPeaksAmplitude_median_sum,0.0100843825540181,fixation_PupilPeaksAmplitude_median_sum,2;0
non-horizontal saccade_sum,0.0099930385091448,non-horizontal saccade_sum,2;0
fixation_PupilPeaksAmplitude_max_sum,0.0040609693949774,fixation_PupilPeaksAmplitude_max_sum,2;0
Fixation Duration_sum,0.0034314912857423,Fixation Duration_sum,2;0
fixation_PupilPeaksAmplitude_sum_sum,0.0,fixation_PupilPeaksAmplitude_sum_sum,2;0
fixation_PupilSize_sum_sum,0.0,fixation_PupilSize_sum_sum,2;0
fixation_PupilSize_max_sum,0.0,fixation_PupilSize_max_sum,2;0
Fixation Count_sum,0.0,Fixation Count_sum,2;0
horizontal saccade_sum,0.6075661562453253,horizontal saccade_sum,3;0
Fixation Duration_sum,0.0972272951060491,Fixation Duration_sum,3;0
