,importance,feature,round
horizontal saccade_sum,0.6533277062814458,horizontal saccade_sum,0;0
fixation_PupilSize_std_sum,0.0743655823623836,fixation_PupilSize_std_sum,0;0
Fixation Duration_sum,0.042922497066998,Fixation Duration_sum,0;0
fixation_PupilPeaksAmplitude_median_sum,0.0256135653726015,fixation_PupilPeaksAmplitude_median_sum,0;0
fixation_PupilPeaksAmplitude_sum_sum,0.02439387178343,fixation_PupilPeaksAmplitude_sum_sum,0;0
fixation_PupilPeaksAmplitude_mean_sum,0.0232850594296377,fixation_PupilPeaksAmplitude_mean_sum,0;0
fixation_PupilSize_mean_sum,0.0204613050087293,fixation_PupilSize_mean_sum,0;0
fixation_PupilSize_min_sum,0.019919726958706,fixation_PupilSize_min_sum,0;0
fixation_NumberOfPupilPeaks_sum,0.0193228436718526,fixation_NumberOfPupilPeaks_sum,0;0
fixation_PupilSize_median_sum,0.0174241941310214,fixation_PupilSize_median_sum,0;0
Sub-scanDensity_sum,0.0160209169579986,Sub-scanDensity_sum,0;0
fixation_PupilPeaksAmplitude_std_sum,0.0142297585403341,fixation_PupilPeaksAmplitude_std_sum,0;0
non-horizontal saccade_sum,0.0139393553048171,non-horizontal saccade_sum,0;0
Fixation Count 250_sum,0.0135213803490252,Fixation Count 250_sum,0;0
fixation_PupilPeaksAmplitude_min_sum,0.0081312905944766,fixation_PupilPeaksAmplitude_min_sum,0;0
saccadic amplitude_sum,0.0081312905944766,saccadic amplitude_sum,0;0
fixation_PupilPeaksAmplitude_max_sum,0.0049896555920652,fixation_PupilPeaksAmplitude_max_sum,0;0
fixation_PupilSize_sum_sum,0.0,fixation_PupilSize_sum_sum,0;0
Fixation Count_sum,0.0,Fixation Count_sum,0;0
Sub-scanAverageWeightedDegree_sum,0.0,Sub-scanAverageWeightedDegree_sum,0;0
horizontal saccade_sum,0.6891648957204171,horizontal saccade_sum,1;0
Fixation Duration_sum,0.0562783433706617,Fixation Duration_sum,1;0
fixation_PupilSize_mean_sum,0.0432299100730894,fixation_PupilSize_mean_sum,1;0
Sub-scanAverageWeightedDegree_sum,0.0355251193453057,Sub-scanAverageWeightedDegree_sum,1;0
non-horizontal saccade_sum,0.0343772725113374,non-horizontal saccade_sum,1;0
fixation_PupilPeaksAmplitude_min_sum,0.0223349834864032,fixation_PupilPeaksAmplitude_min_sum,1;0
Fixation Count 250_sum,0.0221993875972849,Fixation Count 250_sum,1;0
