,importance,feature,round
fixation_PupilSize_max_sum,0.2896451086928561,fixation_PupilSize_max_sum,0;0
fixation_PupilPeaksAmplitude_max_sum,0.0964538061739838,fixation_PupilPeaksAmplitude_max_sum,0;0
Sub-scanNUniqueVisits_std,0.0927440458757021,Sub-scanNUniqueVisits_std,0;0
Sub-scanDensity_sum,0.0729785810199331,Sub-scanDensity_sum,0;0
fixation_PupilSize_std_sum,0.0608063960966086,fixation_PupilSize_std_sum,0;0
Fixation Duration_sum,0.046799931649556,Fixation Duration_sum,0;0
fixation_NumberOfPupilPeaks_sum,0.037389856870421,fixation_NumberOfPupilPeaks_sum,0;0
fixation_PupilSize_sum_sum,0.0364410606043887,fixation_PupilSize_sum_sum,0;0
horizontal saccade_mean,0.0348488294904369,horizontal saccade_mean,0;0
horizontal saccade_std,0.0325692907907649,horizontal saccade_std,0;0
fixation_PupilPeaksAmplitude_sum_sum,0.0319547796137261,fixation_PupilPeaksAmplitude_sum_sum,0;0
horizontal saccade_sum,0.0314833539418923,horizontal saccade_sum,0;0
fixation_PupilSize_median_sum,0.0262252575277853,fixation_PupilSize_median_sum,0;0
fixation_PupilSize_min_sum,0.025320564574477,fixation_PupilSize_min_sum,0;0
fixation_PupilPeaksAmplitude_median_max,0.0232778598964923,fixation_PupilPeaksAmplitude_median_max,0;0
Sub-scanNUniqueVisits_sum,0.0231520948657302,Sub-scanNUniqueVisits_sum,0;0
non-horizontal saccade_sum,0.0168769921765274,non-horizontal saccade_sum,0;0
Fixation Count_sum,0.0112820739415938,Fixation Count_sum,0;0
fixation_PupilSize_mean_sum,0.00567544077146,fixation_PupilSize_mean_sum,0;0
Sub-scanAverageWeightedDegree_sum,0.0040746754256636,Sub-scanAverageWeightedDegree_sum,0;0
fixation_PupilSize_std_sum,0.2996951821173428,fixation_PupilSize_std_sum,1;0
fixation_PupilPeaksAmplitude_min_sum,0.0586589355304362,fixation_PupilPeaksAmplitude_min_sum,1;0
fixation_PupilPeaksAmplitude_sum_sum,0.0570463953682688,fixation_PupilPeaksAmplitude_sum_sum,1;0
fixation_NumberOfPupilPeaks_sum,0.0565981642246211,fixation_NumberOfPupilPeaks_sum,1;0
fixation_PupilPeaksAmplitude_max_sum,0.0543976395089983,fixation_PupilPeaksAmplitude_max_sum,1;0
Sub-scanNtranstions_sum,0.0526540767172899,Sub-scanNtranstions_sum,1;0
saccadic amplitude_sum,0.047348390162069,saccadic amplitude_sum,1;0
fixation_PupilPeaksAmplitude_std_sum,0.0459777060506327,fixation_PupilPeaksAmplitude_std_sum,1;0
fixation_PupilSize_max_sum,0.0431605007567346,fixation_PupilSize_max_sum,1;0
Fixation Duration_sum,0.0372068460301825,Fixation Duration_sum,1;0
Sub-scanAverageWeightedDegree_sum,0.0371871296713512,Sub-scanAverageWeightedDegree_sum,1;0
fixation_PupilPeaksAmplitude_mean_sum,0.0370206134037642,fixation_PupilPeaksAmplitude_mean_sum,1;0
fixation_PupilSize_min_sum,0.0330868215902537,fixation_PupilSize_min_sum,1;0
horizontal saccade_sum,0.0283692993425094,horizontal saccade_sum,1;0
fixation_PupilSize_sum_sum,0.0248254025076904,fixation_PupilSize_sum_sum,1;0
Fixation Count_sum,0.0220964179894547,Fixation Count_sum,1;0
fixation_PupilPeaksAmplitude_median_sum,0.020515576573858,fixation_PupilPeaksAmplitude_median_sum,1;0
fixation_PupilSize_mean_sum,0.0204991496741092,fixation_PupilSize_mean_sum,1;0
Sub-scanDensity_sum,0.0155943813670821,Sub-scanDensity_sum,1;0
fixation_PupilSize_median_sum,0.0080613714133501,fixation_PupilSize_median_sum,1;0
fixation_PupilSize_std_sum,0.2934040299063711,fixation_PupilSize_std_sum,2;0
fixation_PupilPeaksAmplitude_std_sum,0.1030051202544408,fixation_PupilPeaksAmplitude_std_sum,2;0
Sub-scanNtranstions_mean,0.0533337924187715,Sub-scanNtranstions_mean,2;0
fixation_PupilSize_median_sum,0.0448597160480178,fixation_PupilSize_median_sum,2;0
horizontal saccade_sum,0.0440502558278192,horizontal saccade_sum,2;0
horizontal saccade_mean,0.0435095031079194,horizontal saccade_mean,2;0
fixation_NumberOfPupilPeaks_sum,0.0418546867865807,fixation_NumberOfPupilPeaks_sum,2;0
Sub-scanDensity_sum,0.0392000157682125,Sub-scanDensity_sum,2;0
fixation_PupilSize_min_sum,0.0377019916066211,fixation_PupilSize_min_sum,2;0
fixation_PupilSize_sum_sum,0.0343704389652803,fixation_PupilSize_sum_sum,2;0
fixation_PupilSize_mean_sum,0.0329088083810028,fixation_PupilSize_mean_sum,2;0
fixation_PupilSize_max_sum,0.0327615519711416,fixation_PupilSize_max_sum,2;0
fixation_PupilPeaksAmplitude_sum_sum,0.0313579642971924,fixation_PupilPeaksAmplitude_sum_sum,2;0
saccadic amplitude_sum,0.0312977588882633,saccadic amplitude_sum,2;0
fixation_PupilPeaksAmplitude_max_sum,0.0288145420410286,fixation_PupilPeaksAmplitude_max_sum,2;0
fixation_PupilPeaksAmplitude_median_sum,0.0284545701578342,fixation_PupilPeaksAmplitude_median_sum,2;0
fixation_PupilPeaksAmplitude_mean_sum,0.0244516505584754,fixation_PupilPeaksAmplitude_mean_sum,2;0
Sub-scanAverageWeightedDegree_sum,0.0240091045410252,Sub-scanAverageWeightedDegree_sum,2;0
Fixation Count_sum,0.016575985834146,Fixation Count_sum,2;0
fixation_PupilPeaksAmplitude_min_sum,0.0140785126398551,fixation_PupilPeaksAmplitude_min_sum,2;0
fixation_PupilSize_std_sum,0.2776544770390574,fixation_PupilSize_std_sum,3;0
fixation_NumberOfPupilPeaks_sum,0.0991313030153969,fixation_NumberOfPupilPeaks_sum,3;0
saccadic amplitude_sum,0.0750856807464575,saccadic amplitude_sum,3;0
