,importance,feature,round
Sub-scanDensity_sum,0.2344003984184298,Sub-scanDensity_sum,0;0
fixation_PupilSize_max_sum,0.0933610748247789,fixation_PupilSize_max_sum,0;0
fixation_PupilPeaksAmplitude_std_sum,0.0907264497295435,fixation_PupilPeaksAmplitude_std_sum,0;0
fixation_NumberOfPupilPeaks_sum,0.0862222002294601,fixation_NumberOfPupilPeaks_sum,0;0
Fixation Duration_sum,0.0606340553045179,Fixation Duration_sum,0;0
saccadic amplitude_sum,0.0543234136644396,saccadic amplitude_sum,0;0
fixation_PupilPeaksAmplitude_mean_sum,0.0498726435747142,fixation_PupilPeaksAmplitude_mean_sum,0;0
Sub-scanNtranstions_sum,0.0461390350795114,Sub-scanNtranstions_sum,0;0
horizontal saccade_mean,0.0381296873160131,horizontal saccade_mean,0;0
fixation_PupilPeaksAmplitude_sum_sum,0.0330931646403691,fixation_PupilPeaksAmplitude_sum_sum,0;0
Sub-scanAverageWeightedDegree_sum,0.0318664308475864,Sub-scanAverageWeightedDegree_sum,0;0
Sub-scanNUniqueVisits_sum,0.0295651978139386,Sub-scanNUniqueVisits_sum,0;0
fixation_PupilSize_min_sum,0.0253808047280387,fixation_PupilSize_min_sum,0;0
fixation_PupilSize_std_sum,0.0231886495558976,fixation_PupilSize_std_sum,0;0
fixation_PupilSize_median_sum,0.0227460564548216,fixation_PupilSize_median_sum,0;0
fixation_PupilPeaksAmplitude_max_sum,0.0225384162811516,fixation_PupilPeaksAmplitude_max_sum,0;0
horizontal saccade_sum,0.0207425960186148,horizontal saccade_sum,0;0
Fixation Count_sum,0.0169386393758502,Fixation Count_sum,0;0
fixation_PupilSize_sum_sum,0.0135767790262172,fixation_PupilSize_sum_sum,0;0
fixation_PupilSize_mean_sum,0.0065543071161048,fixation_PupilSize_mean_sum,0;0
fixation_PupilSize_std_sum,0.2691159833534003,fixation_PupilSize_std_sum,1;0
saccadic amplitude_sum,0.0973176648999287,saccadic amplitude_sum,1;0
horizontal saccade_sum,0.0753751381707608,horizontal saccade_sum,1;0
fixation_PupilPeaksAmplitude_std_sum,0.0745594431373094,fixation_PupilPeaksAmplitude_std_sum,1;0
fixation_PupilSize_mean_sum,0.0621634763823893,fixation_PupilSize_mean_sum,1;0
Fixation Duration_sum,0.0539807791386633,Fixation Duration_sum,1;0
fixation_PupilSize_min_sum,0.050581897856874,fixation_PupilSize_min_sum,1;0
fixation_PupilPeaksAmplitude_mean_sum,0.040006035587625,fixation_PupilPeaksAmplitude_mean_sum,1;0
horizontal saccade_mean,0.0388285578989562,horizontal saccade_mean,1;0
fixation_PupilPeaksAmplitude_max_sum,0.0353287167024803,fixation_PupilPeaksAmplitude_max_sum,1;0
fixation_PupilPeaksAmplitude_sum_sum,0.0342252346874624,fixation_PupilPeaksAmplitude_sum_sum,1;0
fixation_NumberOfPupilPeaks_sum,0.0305542849070004,fixation_NumberOfPupilPeaks_sum,1;0
Sub-scanDensity_sum,0.0280271971614646,Sub-scanDensity_sum,1;0
Fixation Count 250_sum,0.0274826223961134,Fixation Count 250_sum,1;0
non-horizontal saccade_sum,0.0269225838815277,non-horizontal saccade_sum,1;0
fixation_PupilSize_max_sum,0.0268072817999261,fixation_PupilSize_max_sum,1;0
Fixation Count_sum,0.0159022731542246,Fixation Count_sum,1;0
Sub-scanAverageWeightedDegree_sum,0.0084200336432408,Sub-scanAverageWeightedDegree_sum,1;0
fixation_PupilSize_median_sum,0.0044007952406523,fixation_PupilSize_median_sum,1;0
fixation_PupilSize_sum_sum,0.0,fixation_PupilSize_sum_sum,1;0
fixation_PupilSize_std_sum,0.3065394907233511,fixation_PupilSize_std_sum,2;0
Fixation Duration_sum,0.0700631484003506,Fixation Duration_sum,2;0
saccadic amplitude_sum,0.0649573080142826,saccadic amplitude_sum,2;0
Fixation Count 250_sum,0.0580347082957869,Fixation Count 250_sum,2;0
fixation_PupilSize_median_sum,0.057076032697715,fixation_PupilSize_median_sum,2;0
Sub-scanNtranstions_sum,0.0570068988420747,Sub-scanNtranstions_sum,2;0
fixation_PupilPeaksAmplitude_min_sum,0.0496490509377577,fixation_PupilPeaksAmplitude_min_sum,2;0
fixation_PupilPeaksAmplitude_mean_sum,0.0463874092939629,fixation_PupilPeaksAmplitude_mean_sum,2;0
fixation_PupilSize_max_sum,0.0436048733137052,fixation_PupilSize_max_sum,2;0
horizontal saccade_sum,0.039999490377368,horizontal saccade_sum,2;0
fixation_NumberOfPupilPeaks_sum,0.0379103239227822,fixation_NumberOfPupilPeaks_sum,2;0
fixation_PupilPeaksAmplitude_max_sum,0.0303800830677098,fixation_PupilPeaksAmplitude_max_sum,2;0
fixation_PupilSize_mean_sum,0.0246978379366727,fixation_PupilSize_mean_sum,2;0
