,importance,feature,round
fixation_PupilSize_std_sum,0.2904436079926787,fixation_PupilSize_std_sum,0;0
Fixation Duration_sum,0.0843936673689134,Fixation Duration_sum,0;0
fixation_PupilSize_sum_sum,0.0681995402805876,fixation_PupilSize_sum_sum,0;0
Sub-scanNUniqueVisits_sum,0.0621338038982676,Sub-scanNUniqueVisits_sum,0;0
fixation_NumberOfPupilPeaks_sum,0.0576221712137485,fixation_NumberOfPupilPeaks_sum,0;0
fixation_PupilSize_max_sum,0.0573204903897323,fixation_PupilSize_max_sum,0;0
fixation_PupilPeaksAmplitude_std_sum,0.0506632202307456,fixation_PupilPeaksAmplitude_std_sum,0;0
fixation_PupilPeaksAmplitude_mean_sum,0.0343652068393695,fixation_PupilPeaksAmplitude_mean_sum,0;0
fixation_PupilSize_min_sum,0.0326351782347642,fixation_PupilSize_min_sum,0;0
fixation_PupilPeaksAmplitude_median_sum,0.0324276876441573,fixation_PupilPeaksAmplitude_median_sum,0;0
fixation_PupilPeaksAmplitude_sum_sum,0.0318411676015643,fixation_PupilPeaksAmplitude_sum_sum,0;0
non-horizontal saccade_sum,0.0310414940384827,non-horizontal saccade_sum,0;0
saccadic amplitude_sum,0.0299561678548031,saccadic amplitude_sum,0;0
fixation_PupilPeaksAmplitude_max_sum,0.0293049322781344,fixation_PupilPeaksAmplitude_max_sum,0;0
Sub-scanEntropy_min,0.0261107846471952,Sub-scanEntropy_min,0;0
fixation_PupilSize_median_sum,0.0237818089618026,fixation_PupilSize_median_sum,0;0
Sub-scanAverageWeightedDegree_sum,0.022952748827266,Sub-scanAverageWeightedDegree_sum,0;0
Fixation Count_sum,0.0139394682403687,Fixation Count_sum,0;0
fixation_PupilSize_mean_sum,0.0136632879516132,fixation_PupilSize_mean_sum,0;0
Sub-scanDensity_sum,0.0072035655058043,Sub-scanDensity_sum,0;0
horizontal saccade_sum,0.2445144662715009,horizontal saccade_sum,1;0
fixation_PupilSize_max_sum,0.1068994057971282,fixation_PupilSize_max_sum,1;0
fixation_PupilSize_min_sum,0.0597374940922592,fixation_PupilSize_min_sum,1;0
fixation_PupilPeaksAmplitude_median_sum,0.0507838138298678,fixation_PupilPeaksAmplitude_median_sum,1;0
saccadic amplitude_sum,0.0490812622040683,saccadic amplitude_sum,1;0
Sub-scanNtranstions_sum,0.0483339075049771,Sub-scanNtranstions_sum,1;0
Sub-scanNUniqueVisits_sum,0.0473315330876491,Sub-scanNUniqueVisits_sum,1;0
Fixation Count 250_sum,0.0462720832458535,Fixation Count 250_sum,1;0
horizontal saccade_mean,0.0461216325782403,horizontal saccade_mean,1;0
Sub-scanNUniqueVisits_std,0.0441339247234744,Sub-scanNUniqueVisits_std,1;0
fixation_PupilPeaksAmplitude_max_sum,0.0382192643525572,fixation_PupilPeaksAmplitude_max_sum,1;0
fixation_PupilSize_std_sum,0.0371859436570183,fixation_PupilSize_std_sum,1;0
Fixation Duration_sum,0.0353981204749562,Fixation Duration_sum,1;0
Sub-scanNUniqueVisits_min,0.0267586926384608,Sub-scanNUniqueVisits_min,1;0
fixation_PupilPeaksAmplitude_sum_sum,0.0263656972616783,fixation_PupilPeaksAmplitude_sum_sum,1;0
fixation_PupilPeaksAmplitude_mean_sum,0.025860465116279,fixation_PupilPeaksAmplitude_mean_sum,1;0
non-horizontal saccade_sum,0.0258155736493238,non-horizontal saccade_sum,1;0
Fixation Count_sum,0.0184046351047152,Fixation Count_sum,1;0
Sub-scanDensity_sum,0.0161498708010335,Sub-scanDensity_sum,1;0
Sub-scanAverageWeightedDegree_sum,0.0066322136089577,Sub-scanAverageWeightedDegree_sum,1;0
fixation_PupilSize_std_sum,0.3286681510141597,fixation_PupilSize_std_sum,2;0
fixation_PupilSize_min_sum,0.0676767574048902,fixation_PupilSize_min_sum,2;0
fixation_PupilPeaksAmplitude_max_sum,0.0640380936238989,fixation_PupilPeaksAmplitude_max_sum,2;0
fixation_PupilPeaksAmplitude_min_sum,0.0622273484698022,fixation_PupilPeaksAmplitude_min_sum,2;0
fixation_NumberOfPupilPeaks_sum,0.0490740850931489,fixation_NumberOfPupilPeaks_sum,2;0
saccadic amplitude_sum,0.0484368328045405,saccadic amplitude_sum,2;0
Sub-scanNUniqueVisits_sum,0.0456200675801881,Sub-scanNUniqueVisits_sum,2;0
fixation_NumberOfPupilPeaks_mean,0.0420786232805925,fixation_NumberOfPupilPeaks_mean,2;0
horizontal saccade_std,0.0390336328756344,horizontal saccade_std,2;0
fixation_PupilSize_max_sum,0.0387453493465187,fixation_PupilSize_max_sum,2;0
fixation_PupilPeaksAmplitude_mean_sum,0.0341843562392235,fixation_PupilPeaksAmplitude_mean_sum,2;0
Sub-scanEntropy_sum,0.0328021891844836,Sub-scanEntropy_sum,2;0
Fixation Duration 250_sum,0.029911562755941,Fixation Duration 250_sum,2;0
fixation_PupilPeaksAmplitude_median_sum,0.0249860805472075,fixation_PupilPeaksAmplitude_median_sum,2;0
Sub-scanAverageWeightedDegree_sum,0.0184425275652089,Sub-scanAverageWeightedDegree_sum,2;0
horizontal saccade_sum,0.0181092443055193,horizontal saccade_sum,2;0
fixation_PupilPeaksAmplitude_sum_sum,0.0158178007390041,fixation_PupilPeaksAmplitude_sum_sum,2;0
non-horizontal saccade_sum,0.0138249088005317,non-horizontal saccade_sum,2;0
