,importance,feature,round
horizontal saccade_sum,0.6705777374692186,horizontal saccade_sum,0;0
Sub-scanAverageWeightedDegree_sum,0.0608405376097963,Sub-scanAverageWeightedDegree_sum,0;0
Fixation Count 250_sum,0.0558435552327776,Fixation Count 250_sum,0;0
fixation_PupilPeaksAmplitude_median_sum,0.0336225660793135,fixation_PupilPeaksAmplitude_median_sum,0;0
fixation_PupilSize_std_sum,0.0334401694562122,fixation_PupilSize_std_sum,0;0
fixation_PupilSize_median_sum,0.0263927793339558,fixation_PupilSize_median_sum,0;0
fixation_PupilPeaksAmplitude_min_sum,0.0211081352183191,fixation_PupilPeaksAmplitude_min_sum,0;0
non-horizontal saccade_sum,0.0193641140353943,non-horizontal saccade_sum,0;0
fixation_PupilPeaksAmplitude_sum_sum,0.0182650029708853,fixation_PupilPeaksAmplitude_sum_sum,0;0
Fixation Duration 250_sum,0.0126403268815647,Fixation Duration 250_sum,0;0
fixation_PupilPeaksAmplitude_max_sum,0.0122148400223266,fixation_PupilPeaksAmplitude_max_sum,0;0
Sub-scanDensity_sum,0.0113368983957219,Sub-scanDensity_sum,0;0
fixation_PupilPeaksAmplitude_mean_sum,0.0104971281441869,fixation_PupilPeaksAmplitude_mean_sum,0;0
Fixation Count_sum,0.0083977025153495,Fixation Count_sum,0;0
saccadic amplitude_sum,0.0054585066349772,saccadic amplitude_sum,0;0
fixation_PupilPeaksAmplitude_std_sum,0.0,fixation_PupilPeaksAmplitude_std_sum,0;0
fixation_PupilSize_min_sum,0.0,fixation_PupilSize_min_sum,0;0
fixation_PupilSize_max_sum,0.0,fixation_PupilSize_max_sum,0;0
fixation_NumberOfPupilPeaks_sum,0.0,fixation_NumberOfPupilPeaks_sum,0;0
Fixation Duration_sum,0.0,Fixation Duration_sum,0;0
horizontal saccade_sum,0.6666797409562129,horizontal saccade_sum,1;0
Sub-scanNUniqueVisits_sum,0.0592733422125405,Sub-scanNUniqueVisits_sum,1;0
fixation_PupilPeaksAmplitude_min_sum,0.0552348822511035,fixation_PupilPeaksAmplitude_min_sum,1;0
Sub-scanAverageWeightedDegree_sum,0.0545346772638793,Sub-scanAverageWeightedDegree_sum,1;0
fixation_PupilPeaksAmplitude_median_sum,0.0499340386970601,fixation_PupilPeaksAmplitude_median_sum,1;0
Fixation Duration 250_sum,0.0413163066889551,Fixation Duration 250_sum,1;0
saccadic amplitude_sum,0.0391502065186275,saccadic amplitude_sum,1;0
fixation_NumberOfPupilPeaks_sum,0.0164314194577352,fixation_NumberOfPupilPeaks_sum,1;0
fixation_PupilSize_max_sum,0.0121600964991884,fixation_PupilSize_max_sum,1;0
Fixation Duration_sum,0.0045141262246525,Fixation Duration_sum,1;0
fixation_PupilSize_std_sum,0.0007711632300447,fixation_PupilSize_std_sum,1;0
fixation_PupilPeaksAmplitude_mean_sum,0.0,fixation_PupilPeaksAmplitude_mean_sum,1;0
fixation_PupilPeaksAmplitude_max_sum,0.0,fixation_PupilPeaksAmplitude_max_sum,1;0
fixation_PupilSize_sum_sum,0.0,fixation_PupilSize_sum_sum,1;0
fixation_PupilPeaksAmplitude_sum_sum,0.0,fixation_PupilPeaksAmplitude_sum_sum,1;0
non-horizontal saccade_sum,0.0,non-horizontal saccade_sum,1;0
fixation_PupilSize_min_sum,0.0,fixation_PupilSize_min_sum,1;0
fixation_PupilSize_mean_sum,0.0,fixation_PupilSize_mean_sum,1;0
Fixation Count_sum,0.0,Fixation Count_sum,1;0
Sub-scanDensity_sum,0.0,Sub-scanDensity_sum,1;0
horizontal saccade_sum,0.6234024381102302,horizontal saccade_sum,2;0
Fixation Duration 250_sum,0.0651388370952293,Fixation Duration 250_sum,2;0
fixation_NumberOfPupilPeaks_sum,0.0499169935250344,fixation_NumberOfPupilPeaks_sum,2;0
Fixation Duration_sum,0.0464374061312836,Fixation Duration_sum,2;0
fixation_PupilPeaksAmplitude_sum_sum,0.0379863633765194,fixation_PupilPeaksAmplitude_sum_sum,2;0
Fixation Count_sum,0.0358688930117501,Fixation Count_sum,2;0
Sub-scanEntropy_sum,0.0320415781595905,Sub-scanEntropy_sum,2;0
SpaceTimeCluster_countUniqueClusters,0.0280659701897287,SpaceTimeCluster_countUniqueClusters,2;0
Sub-scanAverageWeightedDegree_sum,0.0200267985982271,Sub-scanAverageWeightedDegree_sum,2;0
Sub-scanNUniqueVisits_sum,0.0177849927849927,Sub-scanNUniqueVisits_sum,2;0
fixation_PupilPeaksAmplitude_mean_sum,0.0156518805869455,fixation_PupilPeaksAmplitude_mean_sum,2;0
saccadic amplitude_sum,0.0136682221097805,saccadic amplitude_sum,2;0
