,importance,feature,round
horizontal saccade_sum,0.6177259871865842,horizontal saccade_sum,0;0
Fixation Duration 250_sum,0.0778436278650901,Fixation Duration 250_sum,0;0
fixation_NumberOfPupilPeaks_sum,0.0717872724245666,fixation_NumberOfPupilPeaks_sum,0;0
Sub-scanNUniqueVisits_sum,0.0570006722497126,Sub-scanNUniqueVisits_sum,0;0
Sub-scanAverageWeightedDegree_sum,0.0317482990318185,Sub-scanAverageWeightedDegree_sum,0;0
fixation_PupilPeaksAmplitude_min_sum,0.0250396040161176,fixation_PupilPeaksAmplitude_min_sum,0;0
saccadic amplitude_sum,0.02081660027162,saccadic amplitude_sum,0;0
fixation_PupilSize_mean_sum,0.0190548119296297,fixation_PupilSize_mean_sum,0;0
fixation_PupilSize_sum_sum,0.0175286383386942,fixation_PupilSize_sum_sum,0;0
fixation_PupilSize_std_sum,0.0165652378292116,fixation_PupilSize_std_sum,0;0
non-horizontal saccade_sum,0.0133988673918731,non-horizontal saccade_sum,0;0
fixation_PupilPeaksAmplitude_median_sum,0.0127096975307659,fixation_PupilPeaksAmplitude_median_sum,0;0
fixation_PupilSize_min_sum,0.0093903419671576,fixation_PupilSize_min_sum,0;0
Fixation Duration_sum,0.0056342051802945,Fixation Duration_sum,0;0
fixation_PupilSize_median_sum,0.003756136786863,fixation_PupilSize_median_sum,0;0
fixation_PupilPeaksAmplitude_mean_sum,0.0,fixation_PupilPeaksAmplitude_mean_sum,0;0
fixation_PupilSize_max_sum,0.0,fixation_PupilSize_max_sum,0;0
Fixation Count 250_sum,0.0,Fixation Count 250_sum,0;0
Fixation Count_sum,0.0,Fixation Count_sum,0;0
Sub-scanDensity_sum,0.0,Sub-scanDensity_sum,0;0
horizontal saccade_sum,0.7196773966993105,horizontal saccade_sum,1;0
Sub-scanNUniqueVisits_sum,0.0723551737162673,Sub-scanNUniqueVisits_sum,1;0
fixation_PupilSize_max_sum,0.0358697578657809,fixation_PupilSize_max_sum,1;0
saccadic amplitude_sum,0.03167128569068,saccadic amplitude_sum,1;0
fixation_PupilPeaksAmplitude_min_sum,0.0280550311996696,fixation_PupilPeaksAmplitude_min_sum,1;0
fixation_NumberOfPupilPeaks_sum,0.0212013317827161,fixation_NumberOfPupilPeaks_sum,1;0
Fixation Duration_sum,0.0196575257110792,Fixation Duration_sum,1;0
fixation_PupilSize_std_sum,0.019051091577001,fixation_PupilSize_std_sum,1;0
fixation_PupilSize_min_sum,0.0128414967918802,fixation_PupilSize_min_sum,1;0
fixation_PupilSize_median_sum,0.0112363096928952,fixation_PupilSize_median_sum,1;0
Fixation Duration 250_sum,0.0104872223800355,Fixation Duration 250_sum,1;0
fixation_PupilPeaksAmplitude_max_sum,0.0074908731285968,fixation_PupilPeaksAmplitude_max_sum,1;0
Fixation Count 250_sum,0.0057237080587142,Fixation Count 250_sum,1;0
IsfixationInSpatialCluster_sum,0.004681795705373,IsfixationInSpatialCluster_sum,1;0
Sub-scanAverageWeightedDegree_sum,0.0,Sub-scanAverageWeightedDegree_sum,1;0
fixation_PupilPeaksAmplitude_median_sum,0.0,fixation_PupilPeaksAmplitude_median_sum,1;0
fixation_PupilPeaksAmplitude_sum_sum,0.0,fixation_PupilPeaksAmplitude_sum_sum,1;0
fixation_PupilPeaksAmplitude_mean_sum,0.0,fixation_PupilPeaksAmplitude_mean_sum,1;0
Fixation Count_sum,0.0,Fixation Count_sum,1;0
Sub-scanDensity_sum,0.0,Sub-scanDensity_sum,1;0
horizontal saccade_sum,0.6884996961986967,horizontal saccade_sum,2;0
Sub-scanNtranstions_sum,0.0475942839052392,Sub-scanNtranstions_sum,2;0
fixation_PupilSize_min_sum,0.0430592361824056,fixation_PupilSize_min_sum,2;0
fixation_PupilSize_std_sum,0.0318581184387869,fixation_PupilSize_std_sum,2;0
Fixation Duration_sum,0.0269480176294287,Fixation Duration_sum,2;0
fixation_PupilSize_max_sum,0.025843512293659,fixation_PupilSize_max_sum,2;0
Fixation Duration 250_sum,0.0233549858698992,Fixation Duration 250_sum,2;0
fixation_PupilPeaksAmplitude_sum_sum,0.0216700258362979,fixation_PupilPeaksAmplitude_sum_sum,2;0
saccadic amplitude_sum,0.0185948971896466,saccadic amplitude_sum,2;0
Fixation Count 250_sum,0.0182899977172969,Fixation Count 250_sum,2;0
Sub-scanDensity_sum,0.0149817462571936,Sub-scanDensity_sum,2;0
fixation_NumberOfPupilPeaks_sum,0.0131090279750444,fixation_NumberOfPupilPeaks_sum,2;0
fixation_PupilSize_median_sum,0.009363591410746,fixation_PupilSize_median_sum,2;0
Fixation Count_sum,0.0093419899670618,Fixation Count_sum,2;0
fixation_PupilPeaksAmplitude_median_sum,0.0074908731285968,fixation_PupilPeaksAmplitude_median_sum,2;0
fixation_PupilPeaksAmplitude_max_sum,0.0,fixation_PupilPeaksAmplitude_max_sum,2;0
fixation_PupilPeaksAmplitude_min_sum,0.0,fixation_PupilPeaksAmplitude_min_sum,2;0
fixation_PupilPeaksAmplitude_mean_sum,0.0,fixation_PupilPeaksAmplitude_mean_sum,2;0
Sub-scanAverageWeightedDegree_sum,0.0,Sub-scanAverageWeightedDegree_sum,2;0
Sub-scanNUniqueVisits_sum,0.0,Sub-scanNUniqueVisits_sum,2;0
horizontal saccade_sum,0.6538800117178111,horizontal saccade_sum,3;0
Fixation Duration 250_sum,0.0839896889467586,Fixation Duration 250_sum,3;0
fixation_PupilSize_min_sum,0.0390378697710756,fixation_PupilSize_min_sum,3;0
fixation_NumberOfPupilPeaks_sum,0.0299674680651861,fixation_NumberOfPupilPeaks_sum,3;0
Sub-scanAverageWeightedDegree_sum,0.0244791032595217,Sub-scanAverageWeightedDegree_sum,3;0
fixation_PupilSize_std_sum,0.0226019047900946,fixation_PupilSize_std_sum,3;0
Fixation Count 250_sum,0.0194365641487961,Fixation Count 250_sum,3;0
fixation_PupilPeaksAmplitude_sum_sum,0.018386688588374,fixation_PupilPeaksAmplitude_sum_sum,3;0
Sub-scanNtranstions_sum,0.017121995722507,Sub-scanNtranstions_sum,3;0
saccadic amplitude_sum,0.0168170932210738,saccadic amplitude_sum,3;0
fixation_PupilPeaksAmplitude_min_sum,0.0159181053982682,fixation_PupilPeaksAmplitude_min_sum,3;0
fixation_PupilPeaksAmplitude_max_sum,0.0151690180854085,fixation_PupilPeaksAmplitude_max_sum,3;0
Fixation Duration_sum,0.0133542009208781,Fixation Duration_sum,3;0
Sub-scanNUniqueVisits_sum,0.0117044892634325,Sub-scanNUniqueVisits_sum,3;0
fixation_PupilPeaksAmplitude_mean_sum,0.0106449249722165,fixation_PupilPeaksAmplitude_mean_sum,3;0
fixation_PupilSize_mean_sum,0.0074908731285968,fixation_PupilSize_mean_sum,3;0
fixation_PupilPeaksAmplitude_median_sum,0.0,fixation_PupilPeaksAmplitude_median_sum,3;0
fixation_PupilSize_median_sum,0.0,fixation_PupilSize_median_sum,3;0
Fixation Count_sum,0.0,Fixation Count_sum,3;0
Sub-scanDensity_sum,0.0,Sub-scanDensity_sum,3;0
horizontal saccade_sum,0.6295735183825819,horizontal saccade_sum,4;0
Fixation Duration_sum,0.0572508362651584,Fixation Duration_sum,4;0
fixation_NumberOfPupilPeaks_sum,0.0409492934416894,fixation_NumberOfPupilPeaks_sum,4;0
fixation_PupilSize_sum_sum,0.0384482123078902,fixation_PupilSize_sum_sum,4;0
Sub-scanNUniqueVisits_sum,0.0346545721364892,Sub-scanNUniqueVisits_sum,4;0
Sub-scanAverageWeightedDegree_sum,0.0308266087316366,Sub-scanAverageWeightedDegree_sum,4;0
fixation_PupilSize_std_sum,0.0281175403224821,fixation_PupilSize_std_sum,4;0
fixation_PupilPeaksAmplitude_max_sum,0.0277492536431083,fixation_PupilPeaksAmplitude_max_sum,4;0
fixation_PupilPeaksAmplitude_mean_sum,0.0232842318037848,fixation_PupilPeaksAmplitude_mean_sum,4;0
fixation_PupilSize_max_sum,0.0207986757707428,fixation_PupilSize_max_sum,4;0
fixation_PupilSize_min_sum,0.020190897104173,fixation_PupilSize_min_sum,4;0
Sub-scanDensity_sum,0.0150125779999346,Sub-scanDensity_sum,4;0
fixation_PupilPeaksAmplitude_median_sum,0.0124685938931748,fixation_PupilPeaksAmplitude_median_sum,4;0
Sub-scanNtranstions_sum,0.0104867272793661,Sub-scanNtranstions_sum,4;0
fixation_PupilSize_median_sum,0.0044568590937306,fixation_PupilSize_median_sum,4;0
Fixation Duration 250_sum,0.0029712393958204,Fixation Duration 250_sum,4;0
fixation_PupilSize_mean_sum,0.0027603624282361,fixation_PupilSize_mean_sum,4;0
non-horizontal saccade_sum,0.0,non-horizontal saccade_sum,4;0
saccadic amplitude_sum,0.0,saccadic amplitude_sum,4;0
Fixation Count_sum,0.0,Fixation Count_sum,4;0
horizontal saccade_sum,0.6788676638112535,horizontal saccade_sum,5;0
Sub-scanNUniqueVisits_sum,0.0830735383340705,Sub-scanNUniqueVisits_sum,5;0
fixation_PupilSize_min_sum,0.0306313269206535,fixation_PupilSize_min_sum,5;0
Fixation Duration 250_sum,0.0280846439603304,Fixation Duration 250_sum,5;0
fixation_PupilPeaksAmplitude_min_sum,0.0276606673454239,fixation_PupilPeaksAmplitude_min_sum,5;0
fixation_PupilPeaksAmplitude_median_sum,0.0248738899656696,fixation_PupilPeaksAmplitude_median_sum,5;0
fixation_PupilSize_median_sum,0.0236038329819533,fixation_PupilSize_median_sum,5;0
fixation_NumberOfPupilPeaks_sum,0.0215603023332237,fixation_NumberOfPupilPeaks_sum,5;0
fixation_PupilPeaksAmplitude_mean_sum,0.0209114535371518,fixation_PupilPeaksAmplitude_mean_sum,5;0
Fixation Duration_sum,0.0180814046288906,Fixation Duration_sum,5;0
saccadic amplitude_sum,0.0118390149355831,saccadic amplitude_sum,5;0
IsfixationInSpatialCluster_sum,0.011358831113021,IsfixationInSpatialCluster_sum,5;0
fixation_PupilSize_std_sum,0.0101900728429085,fixation_PupilSize_std_sum,5;0
Sub-scanNtranstions_sum,0.0077051440179931,Sub-scanNtranstions_sum,5;0
fixation_PupilSize_sum_sum,0.0015582132718726,fixation_PupilSize_sum_sum,5;0
fixation_PupilSize_mean_sum,0.0,fixation_PupilSize_mean_sum,5;0
Fixation Count 250_sum,0.0,Fixation Count 250_sum,5;0
Sub-scanAverageWeightedDegree_sum,0.0,Sub-scanAverageWeightedDegree_sum,5;0
Fixation Count_sum,0.0,Fixation Count_sum,5;0
Sub-scanDensity_sum,0.0,Sub-scanDensity_sum,5;0
horizontal saccade_sum,0.6599564593112165,horizontal saccade_sum,6;0
Fixation Count 250_sum,0.075543142860084,Fixation Count 250_sum,6;0
Fixation Duration_sum,0.0608991670485539,Fixation Duration_sum,6;0
fixation_PupilSize_std_sum,0.0484213715947504,fixation_PupilSize_std_sum,6;0
Sub-scanAverageWeightedDegree_sum,0.0327787894688107,Sub-scanAverageWeightedDegree_sum,6;0
fixation_PupilSize_min_sum,0.0237304270274748,fixation_PupilSize_min_sum,6;0
Sub-scanNtranstions_sum,0.0230516682842461,Sub-scanNtranstions_sum,6;0
fixation_PupilSize_median_sum,0.0158029568813852,fixation_PupilSize_median_sum,6;0
