,importance,feature,round
horizontal saccade_sum,0.6882379128962965,horizontal saccade_sum,0;0
Fixation Duration_sum,0.0775451063149093,Fixation Duration_sum,0;0
Fixation Duration 250_sum,0.0504826786524235,Fixation Duration 250_sum,0;0
saccadic amplitude_sum,0.0469225532302455,saccadic amplitude_sum,0;0
Sub-scanNUniqueVisits_sum,0.0324198034243283,Sub-scanNUniqueVisits_sum,0;0
fixation_PupilSize_std_sum,0.0282123468312121,fixation_PupilSize_std_sum,0;0
fixation_NumberOfPupilPeaks_sum,0.0217120315581854,fixation_NumberOfPupilPeaks_sum,0;0
Fixation Count_sum,0.0103072501463033,Fixation Count_sum,0;0
Fixation Count 250_sum,0.0099624056185142,Fixation Count 250_sum,0;0
fixation_PupilPeaksAmplitude_sum_sum,0.0083601014370245,fixation_PupilPeaksAmplitude_sum_sum,0;0
fixation_PupilSize_median_sum,0.0074773578070281,fixation_PupilSize_median_sum,0;0
Sub-scanNtranstions_sum,0.0053504649196956,Sub-scanNtranstions_sum,0;0
fixation_PupilPeaksAmplitude_std_sum,0.005040293040293,fixation_PupilPeaksAmplitude_std_sum,0;0
fixation_PupilPeaksAmplitude_median_sum,0.0045578034501111,fixation_PupilPeaksAmplitude_median_sum,0;0
Sub-scanDensity_sum,0.0034118906734291,Sub-scanDensity_sum,0;0
fixation_PupilPeaksAmplitude_min_sum,0.0,fixation_PupilPeaksAmplitude_min_sum,0;0
Sub-scanAverageWeightedDegree_sum,0.0,Sub-scanAverageWeightedDegree_sum,0;0
fixation_PupilPeaksAmplitude_mean_sum,0.0,fixation_PupilPeaksAmplitude_mean_sum,0;0
fixation_PupilSize_min_sum,0.0,fixation_PupilSize_min_sum,0;0
fixation_PupilPeaksAmplitude_max_sum,0.0,fixation_PupilPeaksAmplitude_max_sum,0;0
horizontal saccade_sum,0.6744506573762391,horizontal saccade_sum,1;0
Fixation Duration 250_sum,0.0502097666736203,Fixation Duration 250_sum,1;0
Fixation Duration_sum,0.049443524824192,Fixation Duration_sum,1;0
fixation_NumberOfPupilPeaks_sum,0.0355356731798878,fixation_NumberOfPupilPeaks_sum,1;0
fixation_PupilPeaksAmplitude_median_sum,0.0284451048381665,fixation_PupilPeaksAmplitude_median_sum,1;0
fixation_PupilSize_sum_sum,0.0275900727382856,fixation_PupilSize_sum_sum,1;0
fixation_PupilSize_mean_sum,0.0235439325430771,fixation_PupilSize_mean_sum,1;0
