,importance,feature,round
fixation_PupilPeaksAmplitude_median_sum,0.2390691573711957,fixation_PupilPeaksAmplitude_median_sum,0;0
fixation_PupilSize_min_sum,0.0957105896683104,fixation_PupilSize_min_sum,0;0
fixation_PupilSize_std_sum,0.0726864394413751,fixation_PupilSize_std_sum,0;0
Sub-scanDensity_sum,0.0632295405452335,Sub-scanDensity_sum,0;0
fixation_PupilPeaksAmplitude_mean_sum,0.0569592855435005,fixation_PupilPeaksAmplitude_mean_sum,0;0
Fixation Count 250_mean,0.0498630360891497,Fixation Count 250_mean,0;0
Sub-scanEntropy_sum,0.0471633239126718,Sub-scanEntropy_sum,0;0
Fixation Duration_sum,0.0463737752892197,Fixation Duration_sum,0;0
horizontal saccade_std,0.0437696035692236,horizontal saccade_std,0;0
Fixation Duration 250_sum,0.0314419521590814,Fixation Duration 250_sum,0;0
Sub-scanAverageWeightedDegree_sum,0.0309139096499281,Sub-scanAverageWeightedDegree_sum,0;0
fixation_PupilPeaksAmplitude_sum_sum,0.0300897204565053,fixation_PupilPeaksAmplitude_sum_sum,0;0
fixation_NumberOfPupilPeaks_sum,0.0291707690153286,fixation_NumberOfPupilPeaks_sum,0;0
horizontal saccade_sum,0.0290308938608933,horizontal saccade_sum,0;0
fixation_PupilSize_median_sum,0.0270205026034041,fixation_PupilSize_median_sum,0;0
non-horizontal saccade_sum,0.0269043263307177,non-horizontal saccade_sum,0;0
horizontal saccade_mean,0.0257596666330898,horizontal saccade_mean,0;0
Sub-scanNUniqueVisits_sum,0.0255329431634176,Sub-scanNUniqueVisits_sum,0;0
fixation_PupilPeaksAmplitude_max_sum,0.0173475025853572,fixation_PupilPeaksAmplitude_max_sum,0;0
Fixation Count_sum,0.0119630621123963,Fixation Count_sum,0;0
fixation_PupilPeaksAmplitude_max_sum,0.2457129504797736,fixation_PupilPeaksAmplitude_max_sum,1;0
Fixation Duration_sum,0.0719644908892131,Fixation Duration_sum,1;0
saccadic amplitude_sum,0.0698836037836531,saccadic amplitude_sum,1;0
fixation_PupilSize_max_sum,0.0697812974753129,fixation_PupilSize_max_sum,1;0
fixation_PupilPeaksAmplitude_std_sum,0.0582213104296448,fixation_PupilPeaksAmplitude_std_sum,1;0
fixation_PupilSize_min_sum,0.0567273201510393,fixation_PupilSize_min_sum,1;0
Sub-scanNUniqueVisits_sum,0.0514943893791231,Sub-scanNUniqueVisits_sum,1;0
Fixation Count_sum,0.0446404585856054,Fixation Count_sum,1;0
Sub-scanAverageWeightedDegree_sum,0.0394427403087706,Sub-scanAverageWeightedDegree_sum,1;0
fixation_PupilSize_sum_sum,0.0376251469126083,fixation_PupilSize_sum_sum,1;0
fixation_PupilSize_std_sum,0.0366317803470628,fixation_PupilSize_std_sum,1;0
non-horizontal saccade_sum,0.034870703969793,non-horizontal saccade_sum,1;0
