,importance,feature,round
Sub-scanAverageWeightedDegree_sum,0.241817040787183,Sub-scanAverageWeightedDegree_sum,0;0
fixation_PupilSize_std_sum,0.0977648814395345,fixation_PupilSize_std_sum,0;0
Fixation Duration 250_sum,0.079873415592902,Fixation Duration 250_sum,0;0
saccadic amplitude_sum,0.0756379057383895,saccadic amplitude_sum,0;0
Fixation Duration_sum,0.0654979979172783,Fixation Duration_sum,0;0
Sub-scanNtranstions_sum,0.0654264212637302,Sub-scanNtranstions_sum,0;0
horizontal saccade_std,0.053281303002794,horizontal saccade_std,0;0
non-horizontal saccade_sum,0.0493402043468606,non-horizontal saccade_sum,0;0
fixation_PupilSize_min_sum,0.043789756350091,fixation_PupilSize_min_sum,0;0
fixation_PupilPeaksAmplitude_median_sum,0.0397178036925211,fixation_PupilPeaksAmplitude_median_sum,0;0
fixation_PupilSize_median_sum,0.0368397116421444,fixation_PupilSize_median_sum,0;0
Sub-scanDensity_sum,0.0297157934967274,Sub-scanDensity_sum,0;0
fixation_PupilPeaksAmplitude_sum_sum,0.0265211571615571,fixation_PupilPeaksAmplitude_sum_sum,0;0
fixation_PupilSize_mean_sum,0.0253663524307402,fixation_PupilSize_mean_sum,0;0
horizontal saccade_sum,0.0207544709740972,horizontal saccade_sum,0;0
fixation_PupilSize_max_sum,0.0159967954775329,fixation_PupilSize_max_sum,0;0
Fixation Count_sum,0.0129218234323432,Fixation Count_sum,0;0
fixation_PupilPeaksAmplitude_mean_sum,0.0092891454515926,fixation_PupilPeaksAmplitude_mean_sum,0;0
fixation_PupilPeaksAmplitude_max_sum,0.0064678217821782,fixation_PupilPeaksAmplitude_max_sum,0;0
fixation_PupilSize_sum_sum,0.0039801980198019,fixation_PupilSize_sum_sum,0;0
fixation_PupilSize_std_sum,0.2761898212700316,fixation_PupilSize_std_sum,1;0
fixation_PupilSize_min_sum,0.0999432046619478,fixation_PupilSize_min_sum,1;0
Fixation Duration_sum,0.0806721303333621,Fixation Duration_sum,1;0
fixation_PupilPeaksAmplitude_sum_sum,0.0539640392537411,fixation_PupilPeaksAmplitude_sum_sum,1;0
non-horizontal saccade_sum,0.0519616772998811,non-horizontal saccade_sum,1;0
Sub-scanEntropy_sum,0.0498468115646514,Sub-scanEntropy_sum,1;0
fixation_PupilPeaksAmplitude_min_sum,0.0474720892287192,fixation_PupilPeaksAmplitude_min_sum,1;0
Sub-scanAverageWeightedDegree_sum,0.0469041921911986,Sub-scanAverageWeightedDegree_sum,1;0
saccadic amplitude_sum,0.0398448493457372,saccadic amplitude_sum,1;0
fixation_PupilPeaksAmplitude_max_sum,0.0398161810953621,fixation_PupilPeaksAmplitude_max_sum,1;0
fixation_PupilPeaksAmplitude_median_sum,0.0377794928608119,fixation_PupilPeaksAmplitude_median_sum,1;0
fixation_NumberOfPupilPeaks_sum,0.0300984819750656,fixation_NumberOfPupilPeaks_sum,1;0
fixation_PupilSize_median_sum,0.0279801950615295,fixation_PupilSize_median_sum,1;0
fixation_PupilSize_max_sum,0.0269955772096757,fixation_PupilSize_max_sum,1;0
Sub-scanDensity_max,0.0260746682273907,Sub-scanDensity_max,1;0
Fixation Count_sum,0.0183355642246913,Fixation Count_sum,1;0
fixation_PupilPeaksAmplitude_mean_sum,0.0160540628714421,fixation_PupilPeaksAmplitude_mean_sum,1;0
horizontal saccade_sum,0.0158482002552182,horizontal saccade_sum,1;0
Sub-scanDensity_sum,0.0104731566602348,Sub-scanDensity_sum,1;0
fixation_PupilSize_mean_sum,0.0037456044093074,fixation_PupilSize_mean_sum,1;0
fixation_PupilSize_std_sum,0.2683571628770889,fixation_PupilSize_std_sum,2;0
Sub-scanEntropy_sum,0.0831252290442958,Sub-scanEntropy_sum,2;0
horizontal saccade_sum,0.0821763347762082,horizontal saccade_sum,2;0
fixation_PupilSize_max_sum,0.0582503405074664,fixation_PupilSize_max_sum,2;0
Fixation Duration_sum,0.0566951293902549,Fixation Duration_sum,2;0
fixation_PupilSize_mean_sum,0.050505751692708,fixation_PupilSize_mean_sum,2;0
fixation_PupilSize_min_sum,0.0487032253664958,fixation_PupilSize_min_sum,2;0
fixation_PupilPeaksAmplitude_max_sum,0.0427817966448783,fixation_PupilPeaksAmplitude_max_sum,2;0
Sub-scanNUniqueVisits_sum,0.0404422455333833,Sub-scanNUniqueVisits_sum,2;0
fixation_PupilPeaksAmplitude_median_sum,0.0384782754783702,fixation_PupilPeaksAmplitude_median_sum,2;0
IsfixationInSpatialCluster_sum,0.0316306326725934,IsfixationInSpatialCluster_sum,2;0
Sub-scanAverageWeightedDegree_sum,0.0311835122311593,Sub-scanAverageWeightedDegree_sum,2;0
Fixation Duration 250_sum,0.0305295192681977,Fixation Duration 250_sum,2;0
Sub-scanDensity_sum,0.0293045932088468,Sub-scanDensity_sum,2;0
fixation_PupilPeaksAmplitude_sum_sum,0.0256132537728228,fixation_PupilPeaksAmplitude_sum_sum,2;0
horizontal saccade_mean,0.0249880770028867,horizontal saccade_mean,2;0
fixation_PupilSize_sum_sum,0.0203091114164206,fixation_PupilSize_sum_sum,2;0
fixation_PupilSize_median_sum,0.0187431243124312,fixation_PupilSize_median_sum,2;0
fixation_PupilPeaksAmplitude_mean_sum,0.0121353832407552,fixation_PupilPeaksAmplitude_mean_sum,2;0
Fixation Count 250_sum,0.0060473015627354,Fixation Count 250_sum,2;0
fixation_PupilSize_std_sum,0.3333691658466001,fixation_PupilSize_std_sum,3;0
Fixation Duration_sum,0.073232868642026,Fixation Duration_sum,3;0
