,importance,feature,round
Sub-scanDensity_sum,0.2419144410402907,Sub-scanDensity_sum,0;0
fixation_PupilSize_max_sum,0.1017178818672098,fixation_PupilSize_max_sum,0;0
fixation_PupilSize_min_sum,0.0760367129677703,fixation_PupilSize_min_sum,0;0
Sub-scanAverageWeightedDegree_sum,0.0685889898882327,Sub-scanAverageWeightedDegree_sum,0;0
fixation_NumberOfPupilPeaks_sum,0.0627706096568935,fixation_NumberOfPupilPeaks_sum,0;0
fixation_PupilPeaksAmplitude_sum_sum,0.051027239956629,fixation_PupilPeaksAmplitude_sum_sum,0;0
fixation_PupilPeaksAmplitude_max_sum,0.0502247141139866,fixation_PupilPeaksAmplitude_max_sum,0;0
Fixation Count 250_std,0.0468763356412232,Fixation Count 250_std,0;0
Sub-scanNUniqueVisits_sum,0.0434335840969733,Sub-scanNUniqueVisits_sum,0;0
Sub-scanEntropy_sum,0.0384421650530757,Sub-scanEntropy_sum,0;0
horizontal saccade_std,0.0354774861218257,horizontal saccade_std,0;0
Fixation Duration_sum,0.0347958048935595,Fixation Duration_sum,0;0
Fixation Duration 250_sum,0.0346689358267328,Fixation Duration 250_sum,0;0
fixation_PupilPeaksAmplitude_mean_sum,0.0251249008723235,fixation_PupilPeaksAmplitude_mean_sum,0;0
Sub-scanNtranstions_min,0.0175841750442402,Sub-scanNtranstions_min,0;0
Fixation Count_sum,0.0165897661553935,Fixation Count_sum,0;0
IsfixationInSpatialTemporalCluster_sum,0.0163216445489949,IsfixationInSpatialTemporalCluster_sum,0;0
horizontal saccade_sum,0.0159115553637963,horizontal saccade_sum,0;0
fixation_PupilPeaksAmplitude_median_sum,0.0136447834854333,fixation_PupilPeaksAmplitude_median_sum,0;0
non-horizontal saccade_sum,0.0088482734054144,non-horizontal saccade_sum,0;0
fixation_PupilSize_std_sum,0.2473968168453737,fixation_PupilSize_std_sum,1;0
fixation_PupilSize_median_sum,0.0807240389479921,fixation_PupilSize_median_sum,1;0
fixation_PupilPeaksAmplitude_std_sum,0.0738729534939099,fixation_PupilPeaksAmplitude_std_sum,1;0
Fixation Duration_sum,0.0595551053697344,Fixation Duration_sum,1;0
fixation_PupilSize_min_sum,0.0582883085456021,fixation_PupilSize_min_sum,1;0
Sub-scanNtranstions_sum,0.0504968291540641,Sub-scanNtranstions_sum,1;0
horizontal saccade_std,0.0395777100951596,horizontal saccade_std,1;0
fixation_PupilSize_max_sum,0.0387191763654297,fixation_PupilSize_max_sum,1;0
fixation_NumberOfPupilPeaks_sum,0.0377697762282173,fixation_NumberOfPupilPeaks_sum,1;0
Sub-scanNUniqueVisits_sum,0.0369561877195859,Sub-scanNUniqueVisits_sum,1;0
Sub-scanDensity_sum,0.0342625376581171,Sub-scanDensity_sum,1;0
Sub-scanEntropy_sum,0.0334196083880108,Sub-scanEntropy_sum,1;0
fixation_PupilPeaksAmplitude_mean_sum,0.0326765947618643,fixation_PupilPeaksAmplitude_mean_sum,1;0
fixation_PupilPeaksAmplitude_sum_sum,0.032632187056543,fixation_PupilPeaksAmplitude_sum_sum,1;0
horizontal saccade_sum,0.0315684071247552,horizontal saccade_sum,1;0
non-horizontal saccade_sum,0.0311356482939404,non-horizontal saccade_sum,1;0
non-horizontal saccade_std,0.0307187440018364,non-horizontal saccade_std,1;0
fixation_PupilPeaksAmplitude_min_sum,0.0249727263980973,fixation_PupilPeaksAmplitude_min_sum,1;0
Fixation Count_sum,0.01434760802732,Fixation Count_sum,1;0
Sub-scanAverageWeightedDegree_sum,0.0109090355244457,Sub-scanAverageWeightedDegree_sum,1;0
horizontal saccade_sum,0.2445208817165577,horizontal saccade_sum,2;0
saccadic amplitude_sum,0.0797084751136419,saccadic amplitude_sum,2;0
fixation_PupilSize_std_sum,0.0778102260903347,fixation_PupilSize_std_sum,2;0
fixation_PupilPeaksAmplitude_sum_sum,0.0726915925927728,fixation_PupilPeaksAmplitude_sum_sum,2;0
fixation_PupilPeaksAmplitude_std_sum,0.071648107721886,fixation_PupilPeaksAmplitude_std_sum,2;0
fixation_PupilSize_min_sum,0.0577001675048409,fixation_PupilSize_min_sum,2;0
Fixation Duration_sum,0.0452602758077615,Fixation Duration_sum,2;0
fixation_PupilSize_max_sum,0.0444364363138571,fixation_PupilSize_max_sum,2;0
fixation_PupilPeaksAmplitude_max_sum,0.0423230737062983,fixation_PupilPeaksAmplitude_max_sum,2;0
Sub-scanEntropy_sum,0.0387062322610717,Sub-scanEntropy_sum,2;0
Sub-scanAverageWeightedDegree_sum,0.0358197727737139,Sub-scanAverageWeightedDegree_sum,2;0
non-horizontal saccade_sum,0.0351883584924747,non-horizontal saccade_sum,2;0
fixation_NumberOfPupilPeaks_sum,0.0308654892324047,fixation_NumberOfPupilPeaks_sum,2;0
Fixation Count_sum,0.0255423157189396,Fixation Count_sum,2;0
horizontal saccade_std,0.0231932621086873,horizontal saccade_std,2;0
Sub-scanNUniqueVisits_sum,0.0183162029342314,Sub-scanNUniqueVisits_sum,2;0
Sub-scanNtranstions_sum,0.017692135319286,Sub-scanNtranstions_sum,2;0
fixation_PupilPeaksAmplitude_mean_sum,0.0176102667468404,fixation_PupilPeaksAmplitude_mean_sum,2;0
IsfixationInSpatialCluster_std,0.0139527881066924,IsfixationInSpatialCluster_std,2;0
Sub-scanDensity_sum,0.007013939737706,Sub-scanDensity_sum,2;0
Fixation Count_sum,0.2513147349940371,Fixation Count_sum,3;0
Fixation Duration_sum,0.0775843077674686,Fixation Duration_sum,3;0
fixation_PupilSize_min_sum,0.0718140582344887,fixation_PupilSize_min_sum,3;0
fixation_PupilSize_max_sum,0.0645084122538381,fixation_PupilSize_max_sum,3;0
