participant,code,line
P01,B_6,24
P01,B_6,25
P01,B_6,26
P01,C_5,22
P01,C_5,30
P01,C_4,24
P01,C_4,25
P01,C_6,14
P01,C_3,29
P01,C_3,25
P01,C_3,24
P01,C_3,36
P01,C_3,37
P01,C_3,38
P01,C_3,39
P01,C_3,40
P01,C_3,41
P01,C_2,25
P01,C_1,37
P01,C_1,38
P01,C_1,39
P01,C_1,40
P01,C_1,41
P01,C_1,42
P01,C_1,43
P01,C_1,44
P01,B_11,17
P01,B_9,22
P02,B_6,24
P02,B_6,25
P02,B_6,26
P02,B_11,17
P02,C_1,38
P02,C_1,39
P02,C_1,40
P02,C_1,41
P02,C_1,42
P02,C_1,43
P02,C_2,25
P02,C_3,40
P02,C_4,15
P02,C_4,16
P02,C_4,18
P02,C_4,24
P02,C_4,25
P02,C_5,22
P02,C_5,30
P02,C_6,14
P02,C_6,15
P02,C_6,16
P02,C_6,17
P02,C_6,18
P02,C_6,19
20.02,B_6,24
20.02,B_9,22
20.02,B_11,17
20.02,C_1,38
20.02,C_1,39
20.02,C_1,40
20.02,C_1,41
20.02,C_1,43
20.02,C_1,44
20.02,C_1,45
20.02,C_1,46
20.02,C_2,25
20.02,C_3,25
20.02,C_3,29
20.02,C_3,40
20.02,C_4,18
20.02,C_4,24
20.02,C_4,25
20.02,C_5,30
20.02,C_5,21
20.02,C_5,22
20.02,C_6,13
20.02,C_6,14
20.02,C_6,15
20.02,C_6,16
20.02,C_6,17
20.02,C_6,18
20.03,B_6,24
20.03,B_6,26
20.03,B_9,22
20.03,B_11,17
20.03,C_1,29
20.03,C_1,38
20.03,C_1,39
20.03,C_1,40
20.03,C_1,41
20.03,C_1,42
20.03,C_1,43
20.03,C_1,44
20.03,C_1,45
20.03,C_1,46
20.03,C_2,25
20.03,C_3,40
20.03,C_4,18
20.03,C_4,24
20.03,C_4,25
20.03,C_4,26
20.03,C_5,22
20.03,C_5,30
20.03,C_6,14
20.03,C_6,15
20.03,C_6,16
20.03,C_6,17
20.03,C_6,18
20.03,C_6,19
20.04,B_6,13
20.04,B_6,14
20.04,B_6,24
20.04,B_6,25
20.04,B_6,26
20.04,B_6,27
20.04,B_9,22
20.04,B_11,17
20.04,C_1,29
20.04,C_1,35
20.04,C_1,37
20.04,C_1,38
20.04,C_1,39
20.04,C_1,40
20.04,C_1,41
20.04,C_1,42
20.04,C_1,43
20.04,C_2,25
20.04,C_3,40
20.04,C_4,13
20.04,C_4,14
20.04,C_4,15
20.04,C_4,16
20.04,C_4,18
20.04,C_4,23
20.04,C_4,24
20.04,C_4,25
20.04,C_4,26
20.04,C_4,27
20.04,C_5,22
20.04,C_5,30
20.04,C_6,14
20.05,B_6,24
20.05,B_6,25
20.05,B_6,26
20.05,B_9,22
20.05,B_11,17
20.05,C_1,29
20.05,C_1,40
20.05,C_1,41
20.05,C_2,25
20.05,C_2,26
20.05,C_3,25
20.05,C_3,30
20.05,C_3,40
20.05,C_4,18
20.05,C_4,19
20.05,C_5,23
20.05,C_5,30
20.05,C_6,13
20.05,C_6,14
20.08,B_6,24
20.08,B_6,26
20.08,B_9,22
20.08,B_11,17
