Timestamp,ET_PupilLeft,ET_PupilRight,pupilSize,SourceStimuliName
487352.754,0.064502602,1.229365581,0.646934091,t7_eclipse (C_5.java)
487361.115,0.082825751,1.227020587,0.654923169,t7_eclipse (C_5.java)
487369.441,0.10353218,1.224382152,0.663957166,t7_eclipse (C_5.java)
487377.783,0.126656085,1.221583582,0.674119834,t7_eclipse (C_5.java)
487386.105,0.151941748,1.218505321,0.685223534,t7_eclipse (C_5.java)
487394.432,0.179368838,1.215297626,0.697333232,t7_eclipse (C_5.java)
487402.758,0.208878212,1.212090945,0.710484578,t7_eclipse (C_5.java)
487411.084,0.240139099,1.208755129,0.724447114,t7_eclipse (C_5.java)
487419.468,0.273071305,1.205427331,0.739249318,t7_eclipse (C_5.java)
487427.774,0.307568027,1.202225243,0.754896635,t7_eclipse (C_5.java)
487436.126,0.343267599,1.199000638,0.771134118,t7_eclipse (C_5.java)
487444.45,0.380079564,1.195864148,0.787971856,t7_eclipse (C_5.java)
487452.744,0.417893412,1.192909915,0.805401664,t7_eclipse (C_5.java)
487461.096,0.456334937,1.189982363,0.82315865,t7_eclipse (C_5.java)
487469.404,0.495296522,1.187197994,0.841247258,t7_eclipse (C_5.java)
487477.814,0.534659471,1.184655033,0.859657252,t7_eclipse (C_5.java)
487486.094,0.574049986,1.182193886,0.878121936,t7_eclipse (C_5.java)
487494.432,0.613359031,1.179926066,0.896642548,t7_eclipse (C_5.java)
487502.766,0.652474132,1.177944659,0.915209396,t7_eclipse (C_5.java)
487511.067,0.691057726,1.17607999,0.933568858,t7_eclipse (C_5.java)
487519.439,0.729067281,1.174429742,0.951748511,t7_eclipse (C_5.java)
487527.771,0.766453507,1.173074707,0.969764107,t7_eclipse (C_5.java)
487536.091,0.80291098,1.171840223,0.987375602,t7_eclipse (C_5.java)
487544.424,0.838408622,1.170826886,1.004617754,t7_eclipse (C_5.java)
487552.774,0.872913065,1.170117519,1.021515292,t7_eclipse (C_5.java)
487561.122,0.906117722,1.16953511,1.037826416,t7_eclipse (C_5.java)
487569.432,0.937939079,1.169179793,1.053559436,t7_eclipse (C_5.java)
487577.742,0.968306773,1.169133568,1.068720171,t7_eclipse (C_5.java)
487586.067,0.99700257,1.169218034,1.083110302,t7_eclipse (C_5.java)
487594.387,1.024153019,1.169538731,1.096845875,t7_eclipse (C_5.java)
487602.752,1.049869992,1.170181749,1.11002587,t7_eclipse (C_5.java)
487611.097,1.073997618,1.1709606,1.122479109,t7_eclipse (C_5.java)
487619.436,1.096673429,1.171965786,1.134319608,t7_eclipse (C_5.java)
487627.73,1.118019823,1.173270433,1.145645128,t7_eclipse (C_5.java)
487636.144,1.137883652,1.174675565,1.156279609,t7_eclipse (C_5.java)
487644.384,1.156398871,1.176253802,1.166326337,t7_eclipse (C_5.java)
487652.719,1.1736858,1.178063514,1.175874657,t7_eclipse (C_5.java)
487661.051,1.189337132,1.179655369,1.184496251,t7_eclipse (C_5.java)
487669.419,1.20276301,1.180403875,1.191583443,t7_eclipse (C_5.java)
487677.719,1.213485481,1.179790325,1.196637903,t7_eclipse (C_5.java)
487686.075,1.221396189,1.177647005,1.199521597,t7_eclipse (C_5.java)
487694.378,1.226969678,1.174359373,1.200664526,t7_eclipse (C_5.java)
487702.756,1.230633819,1.170269671,1.200451745,t7_eclipse (C_5.java)
487711.073,1.232500856,1.165419564,1.19896021,t7_eclipse (C_5.java)
487719.409,1.232946221,1.160096457,1.196521339,t7_eclipse (C_5.java)
487727.77,1.232305161,1.154552271,1.193428716,t7_eclipse (C_5.java)
487736.101,1.230614425,1.148766568,1.189690497,t7_eclipse (C_5.java)
487744.434,1.228186911,1.142989631,1.185588271,t7_eclipse (C_5.java)
487752.706,1.22529787,1.137436143,1.181367007,t7_eclipse (C_5.java)
487761.077,1.221916819,1.132027586,1.176972203,t7_eclipse (C_5.java)
487769.426,1.218280805,1.126940196,1.1726105,t7_eclipse (C_5.java)
487777.775,1.21459549,1.122321707,1.168458598,t7_eclipse (C_5.java)
487786.068,1.210782948,1.118054249,1.164418599,t7_eclipse (C_5.java)
487794.411,1.207052206,1.114300601,1.160676403,t7_eclipse (C_5.java)
487802.758,1.203581023,1.111193953,1.157387488,t7_eclipse (C_5.java)
487811.118,1.20025356,1.108575635,1.154414597,t7_eclipse (C_5.java)
487819.368,1.197239289,1.106545638,1.151892463,t7_eclipse (C_5.java)
487827.717,1.194679204,1.105182181,1.149930693,t7_eclipse (C_5.java)
487836.081,1.19242637,1.104298426,1.148362398,t7_eclipse (C_5.java)
487844.465,1.190629908,1.103982879,1.147306393,t7_eclipse (C_5.java)
487852.73,1.189411126,1.104303369,1.146857247,t7_eclipse (C_5.java)
487861.028,1.188588078,1.10506889,1.146828484,t7_eclipse (C_5.java)
487869.389,1.188260466,1.106381067,1.147320767,t7_eclipse (C_5.java)
487877.701,1.188506519,1.108318215,1.148412367,t7_eclipse (C_5.java)
487886.024,1.188855559,1.110418573,1.149637066,t7_eclipse (C_5.java)
487894.416,1.188643327,1.112028916,1.150336122,t7_eclipse (C_5.java)
487902.745,1.187315281,1.112602144,1.149958713,t7_eclipse (C_5.java)
487911.076,1.184688327,1.111943111,1.148315719,t7_eclipse (C_5.java)
487919.36,1.181167561,1.110412169,1.145789865,t7_eclipse (C_5.java)
487927.69,1.177108786,1.108325924,1.142717355,t7_eclipse (C_5.java)
487936.018,1.172550315,1.105708514,1.139129414,t7_eclipse (C_5.java)
487944.352,1.167803275,1.102849095,1.135326185,t7_eclipse (C_5.java)
487952.685,1.163135741,1.09999682,1.131566281,t7_eclipse (C_5.java)
487961.032,1.158504512,1.097105046,1.127804779,t7_eclipse (C_5.java)
487969.377,1.154143704,1.094391786,1.124267745,t7_eclipse (C_5.java)
487977.728,1.150250248,1.092040623,1.121145436,t7_eclipse (C_5.java)
487986.077,1.146718637,1.089947036,1.118332837,t7_eclipse (C_5.java)
487994.345,1.14372912,1.088277162,1.116003141,t7_eclipse (C_5.java)
488002.686,1.141428893,1.087167043,1.114297968,t7_eclipse (C_5.java)
488011.049,1.139666256,1.086471273,1.113068765,t7_eclipse (C_5.java)
488019.38,1.138582191,1.086323838,1.112453014,t7_eclipse (C_5.java)
488027.682,1.138287924,1.086831189,1.112559557,t7_eclipse (C_5.java)
488036.134,1.138587197,1.087814554,1.113200875,t7_eclipse (C_5.java)
488044.41,1.139564322,1.089373326,1.114468824,t7_eclipse (C_5.java)
488052.678,1.141281497,1.091583439,1.116432468,t7_eclipse (C_5.java)
488061.042,1.143520595,1.094235037,1.118877816,t7_eclipse (C_5.java)
488069.338,1.146364876,1.097388877,1.121876877,t7_eclipse (C_5.java)
488077.708,1.149875556,1.101088278,1.125481917,t7_eclipse (C_5.java)
488086.045,1.153828685,1.105119095,1.12947389,t7_eclipse (C_5.java)
488094.333,1.158307883,1.109565241,1.133936562,t7_eclipse (C_5.java)
488102.672,1.163374785,1.114490019,1.138932402,t7_eclipse (C_5.java)
488111.002,1.168790233,1.119672538,1.144231386,t7_eclipse (C_5.java)
488119.332,1.174609317,1.125173179,1.149891248,t7_eclipse (C_5.java)
488127.715,1.180870366,1.131035999,1.155953183,t7_eclipse (C_5.java)
488136.076,1.18732862,1.137039585,1.162184103,t7_eclipse (C_5.java)
488144.358,1.194045184,1.143262029,1.168653607,t7_eclipse (C_5.java)
488152.666,1.201064829,1.149763233,1.175414031,t7_eclipse (C_5.java)
488161.03,1.2081442,1.156321719,1.182232959,t7_eclipse (C_5.java)
488169.359,1.215342122,1.163007387,1.189174755,t7_eclipse (C_5.java)
488177.691,1.222702945,1.169874123,1.196288534,t7_eclipse (C_5.java)
488185.992,1.229980354,1.176696065,1.203338209,t7_eclipse (C_5.java)
488194.352,1.237219625,1.183536286,1.210377956,t7_eclipse (C_5.java)
488202.696,1.244455612,1.19044419,1.217449901,t7_eclipse (C_5.java)
488211.02,1.251445321,1.19718944,1.22431738,t7_eclipse (C_5.java)
488219.322,1.258236117,1.203820446,1.231028282,t7_eclipse (C_5.java)
488227.683,1.264866896,1.210376004,1.23762145,t7_eclipse (C_5.java)
488236.015,1.27112278,1.216642788,1.243882784,t7_eclipse (C_5.java)
488244.32,1.277106655,1.222710701,1.249908678,t7_eclipse (C_5.java)
488252.654,1.282905731,1.228655002,1.255780366,t7_eclipse (C_5.java)
488260.984,1.288306761,1.234272596,1.261289679,t7_eclipse (C_5.java)
488269.349,1.293371825,1.239646295,1.26650906,t7_eclipse (C_5.java)
488277.679,1.298154931,1.244846305,1.271500618,t7_eclipse (C_5.java)
488286.012,1.302451413,1.249675478,1.276063445,t7_eclipse (C_5.java)
488294.344,1.306356199,1.254229389,1.280292794,t7_eclipse (C_5.java)
488302.651,1.309952408,1.258589884,1.284271146,t7_eclipse (C_5.java)
488310.982,1.313056491,1.262572087,1.287814289,t7_eclipse (C_5.java)
488319.421,1.315785844,1.26629029,1.291038067,t7_eclipse (C_5.java)
488327.716,1.31824301,1.269842471,1.29404274,t7_eclipse (C_5.java)
488336.009,1.320248498,1.273043344,1.296645921,t7_eclipse (C_5.java)
488344.346,1.32191045,1.275992462,1.298951456,t7_eclipse (C_5.java)
488352.683,1.323323768,1.278775603,1.301049685,t7_eclipse (C_5.java)
488361.067,1.324314591,1.281211452,1.302763021,t7_eclipse (C_5.java)
488369.308,1.325006644,1.28341624,1.304211442,t7_eclipse (C_5.java)
488377.644,1.325507965,1.285489995,1.30549898,t7_eclipse (C_5.java)
488386.056,1.325646909,1.287248074,1.306447491,t7_eclipse (C_5.java)
488394.305,1.325540907,1.288785273,1.30716309,t7_eclipse (C_5.java)
488402.774,1.325292428,1.290183723,1.307738076,t7_eclipse (C_5.java)
488410.969,1.324734406,1.291264659,1.307999532,t7_eclipse (C_5.java)
488419.303,1.323999774,1.292147462,1.308073618,t7_eclipse (C_5.java)
488427.639,1.323203584,1.292935125,1.308069354,t7_eclipse (C_5.java)
488436.001,1.322199348,1.293460301,1.307829825,t7_eclipse (C_5.java)
488444.324,1.32117202,1.293857555,1.307514787,t7_eclipse (C_5.java)
488452.716,1.320278863,1.294242086,1.307260474,t7_eclipse (C_5.java)
488461.046,1.319361282,1.294448741,1.306905011,t7_eclipse (C_5.java)
488469.296,1.318561533,1.294616238,1.306588886,t7_eclipse (C_5.java)
488477.666,1.317998861,1.294862296,1.306430579,t7_eclipse (C_5.java)
488486.006,1.317487109,1.295013363,1.306250236,t7_eclipse (C_5.java)
488494.324,1.31714138,1.295194863,1.306168122,t7_eclipse (C_5.java)
488502.632,1.317057103,1.295512384,1.306284743,t7_eclipse (C_5.java)
488510.959,1.317036075,1.295781362,1.306408719,t7_eclipse (C_5.java)
488519.325,1.317188716,1.296116388,1.306652552,t7_eclipse (C_5.java)
488527.637,1.317606125,1.29661335,1.307109738,t7_eclipse (C_5.java)
488536,1.31808441,1.297080451,1.30758243,t7_eclipse (C_5.java)
488544.287,1.318728681,1.297626842,1.308177761,t7_eclipse (C_5.java)
488552.656,1.319625381,1.298343529,1.308984455,t7_eclipse (C_5.java)
488560.981,1.320566267,1.29903076,1.309798513,t7_eclipse (C_5.java)
488569.319,1.321653328,1.299784281,1.310718804,t7_eclipse (C_5.java)
488577.623,1.322970378,1.300683816,1.311827097,t7_eclipse (C_5.java)
488585.95,1.324304458,1.301528162,1.31291631,t7_eclipse (C_5.java)
488594.368,1.325750109,1.302418343,1.314084226,t7_eclipse (C_5.java)
488602.623,1.327385088,1.303438734,1.315411911,t7_eclipse (C_5.java)
488610.982,1.328994697,1.304385655,1.316690176,t7_eclipse (C_5.java)
488619.28,1.330673826,1.305349776,1.318011801,t7_eclipse (C_5.java)
488627.618,1.332500937,1.306407035,1.319453986,t7_eclipse (C_5.java)
488635.945,1.334256787,1.307352569,1.320804678,t7_eclipse (C_5.java)
488644.28,1.336021644,1.308277197,1.322149421,t7_eclipse (C_5.java)
488652.626,1.337862324,1.309257492,1.323559908,t7_eclipse (C_5.java)
488660.974,1.33956106,1.310090048,1.324825554,t7_eclipse (C_5.java)
488669.309,1.341204143,1.310864095,1.326034119,t7_eclipse (C_5.java)
488677.642,1.342864361,1.311655416,1.327259889,t7_eclipse (C_5.java)
488685.976,1.344323434,1.312255588,1.328289511,t7_eclipse (C_5.java)
488694.337,1.345652535,1.312733292,1.329192914,t7_eclipse (C_5.java)
488702.635,1.346912784,1.313147905,1.330030344,t7_eclipse (C_5.java)
488710.939,1.347888559,1.313295914,1.330592237,t7_eclipse (C_5.java)
488719.299,1.348652352,1.313257476,1.330954914,t7_eclipse (C_5.java)
488727.607,1.349267737,1.313102757,1.331185247,t7_eclipse (C_5.java)
488735.935,1.349530254,1.312631771,1.331081013,t7_eclipse (C_5.java)
488744.306,1.349522815,1.311910128,1.330716472,t7_eclipse (C_5.java)
488752.602,1.349318958,1.310996875,1.330157916,t7_eclipse (C_5.java)
488760.963,1.348726268,1.309705139,1.329215704,t7_eclipse (C_5.java)
488769.264,1.347835635,1.308124756,1.327980195,t7_eclipse (C_5.java)
488777.693,1.346728172,1.306336208,1.32653219,t7_eclipse (C_5.java)
488785.929,1.345222507,1.304160865,1.324691686,t7_eclipse (C_5.java)
488794.292,1.343418421,1.301677645,1.322548033,t7_eclipse (C_5.java)
488802.597,1.341405047,1.298958528,1.320181787,t7_eclipse (C_5.java)
488810.928,1.339003933,1.295834504,1.317419218,t7_eclipse (C_5.java)
488819.261,1.336303151,1.2923989,1.314351026,t7_eclipse (C_5.java)
488827.623,1.333382441,1.288736443,1.311059442,t7_eclipse (C_5.java)
488835.958,1.330070532,1.284692642,1.307381587,t7_eclipse (C_5.java)
488844.337,1.326466332,1.280375083,1.303420708,t7_eclipse (C_5.java)
488852.592,1.322659139,1.275880551,1.299269845,t7_eclipse (C_5.java)
488860.964,1.318489661,1.271058831,1.294774246,t7_eclipse (C_5.java)
488869.254,1.314068234,1.266009597,1.290038915,t7_eclipse (C_5.java)
488877.673,1.309493753,1.260822752,1.285158253,t7_eclipse (C_5.java)
488885.95,1.304605336,1.255346642,1.279975989,t7_eclipse (C_5.java)
488894.281,1.299491538,1.249671807,1.274581673,t7_eclipse (C_5.java)
